originalNameUsageID,genus,taxonID,parentNameUsageID,acceptedNameUsageID,datasetID,taxonomicStatus,taxonRank,scientificName,specificEpithet,infraspecificEpithet,nameAccordingTo,namePublishedIn,nomenclaturalCode,nomenclaturalStatus,taxonRemarks,dcterms:references
,,x4,,,,ACCEPTED,KINGDOM,Animalia,,,,,,,,
,,x6,x4,,,ACCEPTED,PHYLUM,Arthropoda,,,,,,,,
,,x8,x6,,,ACCEPTED,CLASS,Insecta,,,,,,,,
,,xA,x8,,,ACCEPTED,ORDER,Siphonaptera,,,,,,,,
,,xG4,xA,,,ACCEPTED,SUPERFAMILY,Stephanocircidoidea,,,,,,,,
,,xG6,xG4,,,ACCEPTED,FAMILY,Stephanocircidae,,,,,,,,
,,xGQ,xG6,,,ACCEPTED,GENUS,Stephanocircus,,,,,,,,
,Stephanocircus,122260,xGQ,,,ACCEPTED,SPECIES,"Stephanocircus concinnus Rothschild, 1916",concinnus,,,,ICZN,,,
,Stephanocircus,122270,xGQ,,,ACCEPTED,SPECIES,"Stephanocircus dasyuri Skuse, 1893",dasyuri,,,,ICZN,,,
,Stephanocircus,122340,xGQ,,,ACCEPTED,SPECIES,"Stephanocircus simsoni Rothschild, 1905",simsoni,,,,ICZN,,,
,Stephanocircus,122290,xGQ,,,ACCEPTED,SPECIES,"Stephanocircus greeni Traub & Dunnet, 1973",greeni,,,,ICZN,,,
,Stephanocircus,122310,122290,,,ACCEPTED,INFRASPECIFIC_NAME,"Stephanocircus greeni tasmanica Traub & Dunnet, 1973",greeni,tasmanica,,,ICZN,,,
,Stephanocircus,122300,122290,,,ACCEPTED,INFRASPECIFIC_NAME,"Stephanocircus greeni greeni Traub & Dunnet, 1973",greeni,greeni,,,ICZN,,,
,Stephanocircus,122280,xGQ,,,ACCEPTED,SPECIES,"Stephanocircus domrowi Traub & Dunnet, 1973",domrowi,,,,ICZN,,,
,Stephanocircus,122330,xGQ,,,ACCEPTED,SPECIES,"Stephanocircus pectinipes Rothschild, 1915",pectinipes,,,,ICZN,,,
,Stephanocircus,122320,xGQ,,,ACCEPTED,SPECIES,"Stephanocircus harrisoni Traub & Dunnet, 1973",harrisoni,,,,ICZN,,,
,,xGN,xG6,,,ACCEPTED,GENUS,Coronapsylla,,,,,,,,
,Coronapsylla,122240,xGN,,,ACCEPTED,SPECIES,"Coronapsylla jarvisi (Rothschild, 1908)",jarvisi,,,,ICZN,,,
,,xGL,xG6,,,ACCEPTED,GENUS,Tiarapsylla,,,,,,,,
