acceptedName,scientificName,taxonRemarks,taxonomicStatus,nomenclaturalStatus
"Acanthopsylla scintilla scintilla (M. Rothschild, 1936)"," Glauertidos M. Rothschild, 1937 ","nomen novum for Glauertia = Acanthopsylla Jordan & Rothschild, 1922",,nomen novum
"Amalaraeus penicilliger mustelae (Dale, 1878)","Ceratophyllus mustelae Wagner, 1898 ",,junior homonym,
"Amphipsylla sibirica sibirica (Wagner, 1898)","Typhlopsylla sibirica Wagner, 1901 ",,junior homonym,
"Amphipsylla transcaucasica Ioff, 1953","Amphipsylla kuznetzovi transcaucasica Goncharov, 1973 ",,junior homonym,
Anomiopsyllinae,"Miochaeta Good, 1942 ",sunken subgenus,,
"Atyphloceras multidentatus multidentatus (C. Fox, 1909)"," Atyphoceras  felix Jordan, 1933",recte Atyphloceras,,
Ceratophyllinae," Trichopsylla Jordan & Rothschild, 1920 ","junior homonym of Trichopsylla Kolenati, 1863",junior homonym,
Ceratophyllinae," Trichopsylla Ewing & Fox, 1943 ","junior homonym of Trichopsylla Kolenati, 1863",junior homonym,
Ceratophyllinae,"Nomadopsylla Stark, 1970 ",junior synonym of Thrassis,junior synonym,
Ceratophyllinae," Pandoropsylla Stark, 1970 ",junior synonym of Thrassis,junior synonym,
Ceratophyllinae," Thrassoides Stark, 1970 ",junior synonym of Thrassis,junior synonym,
Ceratophyllinae," Jellisonia Traub, 1944 ",subgenus,,
Ceratophyllinae,"Pleochaetoides Augustson, 1944 ",subgenus of Jellisonia,,
"Ceratophyllus farreni chaoi Smit & Allan, 1955","Ceratophyllus chaoi Wang, 1957 ",jurnior homonym,junior homonym,
"Ceratophyllus hirundinis (Curtis, 1826)","Pulex hirundinis Köhler, 1832 ",,junior homonym,
"Ceratophyllus hirundinis (Curtis, 1826)"," Ceratophyllus hirundinis Chao, 1947 ",,junior homonym,
Chaetopsylla,"Oncopsylla Wahlgren, 1903 ",,junior synonym,
"Citellophilus simplex simplex (Wagner, 1902)"," Ischnopsyllus schmitzi Oudemans, 1909 ",male of Ischnopsyllus simplex simplex,,
Coptopsylla,"Paracoptopsylla Argyropulo, 1938 ",subgenus of Coptopsylla,,
"Ctenocephalides canis (Curtis, 1926)","Pulex canis Curtis, 1826 ",,junior homonym,
"Ctenocephalides canis (Curtis, 1926)"," Pulex canis Dugès, 1832 ",,junior homonym,
Ctenophthalminae,"Spalacopsylla Kolenati, 1856 ",,junior synonym,
"Ctenophthalmus agyrtes agyrtes (Heller, 1896)"," Ctenophthalmus agyrtes slovacicus Rosicky, 1951 ",partim,,
"Ctenophthalmus agyrtes agyrtes (Heller, 1896)"," Ctenophthalmus orphilus tatricus Rosicky, 1951 ",partim,,
"Ctenophthalmus agyrtes peusianus Rosicky, 1955"," Ctenophthalmus agyrtes slovacicus Rosicky, 1951 ",partim,,
"Ctenophthalmus agyrtes peusianus Rosicky, 1955"," Ctenophthalmus orphilus tatricus Rosicky, 1951 ",partim,,
Doratopsyllinae,"Spalacopsylla Pinto, 1930 ",,junior synonym,
"Frontopsylla tuoliensis Yu & Zhang, 1981","Frontopsylla tuoli Yu & Zhang, 1981 ",misapplication of F. tuoliensis,misapplied,
Gryphopsylla,"Migrastivalius Traub, 1980 ",subgenus,,
Hystrichopsyllinae,"Hystroceras Ioff & Scalon, 1950 ",unrecognized subgenus,,
Ischnopsyllinae,"Myodopsylloides Augustson, 1941 ",,junior synonym,
Ischnopsyllinae," Spalacopsylla Oudemans, 1906 ",,junior synonym,
Ischnopsyllinae,"Hirtopsylla Argyropulo, 1948 ",unrecognized subgenus,,
Ischnopsyllinae,"Aneptescopsylla Ioff, 1953 ",unrecognized subgenus,,
Ischnopsyllinae,"Dinycteridopsylla Ioff, 1953 ",unrecognized subgenus,,
Ischnopsyllinae," Hexanycteropsylla Ioff, 1953 ",unrecognized subgenus,,
"Ischnopsyllus intermedius (Rothschild, 1898)","Ischnopsyllus schmitzi Oudemans, 1909 ",female Ischnopsyllus intermedius,,
"Ischnopsyllus needhami Hsu, 1935",Ischnopsyllus vasilii Skalon ,"in Argyropulo, 1948",,
"Leptopsylla segnis (Schönherr, 1811)"," Pulex musculi Bouché, 1835 ","junior homonym of Pulex musculi Dugès, 1832",junior homonym,
NA,"Ceratophyllus sterni Curt., [1829] ","cited in Dale, 1878, but no associated valid species",,
NA,"Pulex gigas Kirby, 1837 ",likely a species of Hystrichopsylla,,
NA,"Amalaraeus fossoris Sutemin, 1969 ",nomina ex phantasia,,
NA,"Amalaraeus sugitanii Sutemin, 1969 ",nomina ex phantasia,,
NA,"Ctenophthalmus flavus Suteminn, 1969 ",nomina ex phantasia,,
NA,"Ctenophthalmus nepalensis Sutemin, 1969 ",nomina ex phantasia,,
NA,"Pulex terrestris ferox Alpinus, 1874 ",nomina ex phantasia,,
NA,"Pulex imperator Westwood, 1858 ",non-flea,,
"Nosopsyllus mokrzeckyi (Wagner, 1916)","Oropsylla montana mandarina (Jordan & Rothschild, 1911)",,,
