"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"CoL","xBL",NA,NA,"xBJ",NA,NA,NA,NA,"Acanthopsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae",NA,"Acanthopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Acanthopsylla"
"CoL","xEW",NA,NA,"x4G",NA,NA,NA,NA,"Acedestia",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Acedestia",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Acedestia"
"CoL","x3Q",NA,NA,"xS",NA,NA,NA,NA,"Aconothobius",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae",NA,"Aconothobius",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Aconothobius"
"CoL","xU",NA,NA,"xS",NA,NA,NA,NA,"Acropsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae",NA,"Acropsylla",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Acropsylla"
"CoL","x94",NA,NA,"xE",NA,NA,NA,NA,"Actenopsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae",NA,"Actenopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Actenopsylla"
"CoL","xF6",NA,NA,"x4G",NA,NA,NA,NA,"Adoratopsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Adoratopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Adoratopsylla"
"CoL","xGS",NA,NA,"x5G",NA,NA,NA,NA,"Aenigmopsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Aenigmopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Aenigmopsylla"
"CoL","xGU",NA,NA,"x5G",NA,NA,NA,NA,"Aetheca",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Aetheca",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Aetheca"
"CoL","xC8",NA,NA,"xL",NA,NA,NA,NA,"Afristivalius",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae",NA,"Afristivalius",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Afristivalius"
"CoL","xEN",NA,NA,"x4G",NA,NA,NA,NA,"Agastopsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Agastopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Agastopsylla"
"CoL","x6S",NA,NA,"x48",NA,NA,NA,NA,"Alectopsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae",NA,"Alectopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Alectopsylla"
"CoL","x72",NA,NA,"x48",NA,NA,NA,NA,"Allopsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae",NA,"Allopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Allopsylla"
"CoL","xGW",NA,NA,"x5G",NA,NA,NA,NA,"Amalaraeus",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Amalaraeus",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Amalaraeus"
"CoL","xGY",NA,NA,"x5G",NA,NA,NA,NA,"Amaradix",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Amaradix",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Amaradix"
"CoL","x5L",NA,NA,"x5G",NA,NA,NA,NA,"Amphalius",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Amphalius",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Amphalius"
"CoL","x38",NA,NA,"xS",NA,NA,NA,NA,"Amphipsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae",NA,"Amphipsylla",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Amphipsylla"
"CoL","xB6",NA,NA,"xB4",NA,NA,NA,NA,"Ancistropsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ancistropsyllidae",NA,"Ancistropsylla",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Ancistropsylla"
"CoL","xB4",NA,NA,"xB2",NA,NA,NA,NA,"Ancistropsyllidae",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ancistropsyllidae",NA,NA,NA,NA,NA,"family",NA,NA,NA,NA,"accepted",NA,NA,"Ancistropsyllidae"
"CoL","xB2",NA,NA,"xA",NA,NA,NA,NA,"Ancistropsylloidea",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,"superfamily",NA,NA,NA,NA,"accepted",NA,NA,"Ancistropsylloidea"
"CoL","x4",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,"kingdom",NA,NA,NA,NA,"accepted",NA,NA,"Animalia"
"CoL","xE8",NA,NA,"x4G",NA,NA,NA,NA,"Anomiopsyllus",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Anomiopsyllus",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Anomiopsyllus"
"CoL","x8L",NA,NA,"xE",NA,NA,NA,NA,"Aphropsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae",NA,"Aphropsylla",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Aphropsylla"
"CoL","x6Y",NA,NA,"x48",NA,NA,NA,NA,"Araeopsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae",NA,"Araeopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Araeopsylla"
"CoL","x8N",NA,NA,"xE",NA,NA,NA,NA,"Archaeopsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae",NA,"Archaeopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Archaeopsylla"
"CoL","x6",NA,NA,"x4",NA,NA,NA,NA,"Arthropoda",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,"phylum",NA,NA,NA,NA,"accepted",NA,NA,"Arthropoda"
"CoL","xCA",NA,NA,"xL",NA,NA,NA,NA,"Astivalius",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae",NA,"Astivalius",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Astivalius"
"CoL","xDN",NA,NA,"x4G",NA,NA,NA,NA,"Atyphloceras",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Atyphloceras",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Atyphloceras"
"CoL","xBN",NA,NA,"xBJ",NA,NA,NA,NA,"Austropsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae",NA,"Austropsylla",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Austropsylla"
"CoL","xCC",NA,NA,"xL",NA,NA,NA,NA,"Aviostivalius",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae",NA,"Aviostivalius",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Aviostivalius"
"CoL","xH2",NA,NA,"x5G",NA,NA,NA,NA,"Baculomeris",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Baculomeris",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Baculomeris"
"CoL","xG8",NA,NA,"xG6",NA,NA,NA,NA,"Barreropsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stephanocircidae",NA,"Barreropsylla",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Barreropsylla"
"CoL","xBQ",NA,NA,"xBJ",NA,NA,NA,NA,"Bibikovana",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae",NA,"Bibikovana",NA,NA,NA,"genus",NA,NA,NA,NA,"accepted",NA,NA,"Bibikovana"
