"id","order","family","genus","species","subspecies","author","taxonlevel","accid","canonical","source"
"sp2-411","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus","graecus",NA,NA,"species",0,"Ctenophthalmus graecus","CoL"
"sp2-1038","Siphonaptera","Ceratophyllidae","Macrostylophora","menghaiensis",NA,NA,"species",0,"Macrostylophora menghaiensis","CoL"
"sp2-1350","Siphonaptera","Ceratophyllidae","Paraceras","flabellum",NA,NA,"species",0,"Paraceras flabellum","CoL"
"107160","Siphonaptera","Pygiopsyllidae","Acanthopsylla","bella",NA,NA,"species",0,"Acanthopsylla bella","CoL"
"107170","Siphonaptera","Pygiopsyllidae","Acanthopsylla","bisinuata",NA,NA,"species",0,"Acanthopsylla bisinuata","CoL"
"107180","Siphonaptera","Pygiopsyllidae","Acanthopsylla","dunneti",NA,NA,"species",0,"Acanthopsylla dunneti","CoL"
"107190","Siphonaptera","Pygiopsyllidae","Acanthopsylla","enderleini",NA,NA,"species",0,"Acanthopsylla enderleini","CoL"
"107230","Siphonaptera","Pygiopsyllidae","Acanthopsylla","eudromiciae",NA,NA,"species",0,"Acanthopsylla eudromiciae","CoL"
"107240","Siphonaptera","Pygiopsyllidae","Acanthopsylla","franklinensis",NA,NA,"species",0,"Acanthopsylla franklinensis","CoL"
"107250","Siphonaptera","Pygiopsyllidae","Acanthopsylla","guba",NA,NA,"species",0,"Acanthopsylla guba","CoL"
"133920","Siphonaptera","Pygiopsyllidae","Acanthopsylla","hollandi",NA,NA,"species",133910,"Acanthopsylla hollandi","CoL"
"107260","Siphonaptera","Pygiopsyllidae","Acanthopsylla","jordani",NA,NA,"species",0,"Acanthopsylla jordani","CoL"
"107270","Siphonaptera","Pygiopsyllidae","Acanthopsylla","pavida",NA,NA,"species",0,"Acanthopsylla pavida","CoL"
"107290","Siphonaptera","Pygiopsyllidae","Acanthopsylla","praxilla",NA,NA,"species",0,"Acanthopsylla praxilla","CoL"
"107390","Siphonaptera","Pygiopsyllidae","Acanthopsylla","rectangulata",NA,NA,"species",0,"Acanthopsylla rectangulata","CoL"
"107300","Siphonaptera","Pygiopsyllidae","Acanthopsylla","richardsoni",NA,NA,"species",0,"Acanthopsylla richardsoni","CoL"
"107310","Siphonaptera","Pygiopsyllidae","Acanthopsylla","rothschildi",NA,NA,"species",0,"Acanthopsylla rothschildi","CoL"
"107340","Siphonaptera","Pygiopsyllidae","Acanthopsylla","rothschildi","multidentata",NA,"subspecies",0,"Acanthopsylla rothschildi multidentata","CoL"
"107350","Siphonaptera","Pygiopsyllidae","Acanthopsylla","rothschildi","nereis",NA,"subspecies",0,"Acanthopsylla rothschildi nereis","CoL"
"107330","Siphonaptera","Pygiopsyllidae","Acanthopsylla","rothschildi","rothschildi",NA,"subspecies",0,"Acanthopsylla rothschildi rothschildi","CoL"
"107320","Siphonaptera","Pygiopsyllidae","Acanthopsylla","rothschildi","victoriana",NA,"subspecies",107310,"Acanthopsylla rothschildi victoriana","CoL"
