"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"FMNH","324",NA,NA,NA,NA,NA,NA,NA,"Vermipsyllidae",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Vermipsyllidae","Vermipsyllidae",NA,NA,NA,"genus",NA,"",NA,NA,NA,NA,NA,"Vermipsyllidae"
"FMNH","FMNH34",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus"
"FMNH","FMNH42",NA,NA,NA,NA,NA,NA,NA,"Dactylopsylla unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Dactylopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Dactylopsylla"
"FMNH","FMNH46",NA,NA,NA,NA,NA,NA,NA,"Dasypsyllus unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Dasypsyllus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Dasypsyllus"
"FMNH","FMNH64",NA,NA,NA,NA,NA,NA,NA,"Foxella unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Foxella",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Foxella"
"FMNH","FMNH67",NA,NA,NA,NA,NA,NA,NA,"Kohlsia unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Kohlsia",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Kohlsia"
"FMNH","FMNH69",NA,NA,NA,NA,NA,NA,NA,"Malaraeus unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Malaraeus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Malaraeus"
"FMNH","FMNH80",NA,NA,NA,NA,NA,NA,NA,"Opisodasys unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Opisodasys",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Opisodasys"
"FMNH","FMNH100",NA,NA,NA,NA,NA,NA,NA,"Orchopeas unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Orchopeas",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Orchopeas"
"FMNH","FMNH102",NA,NA,NA,NA,NA,NA,NA,"Oropsylla (Diamanus) unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Oropsylla","Diamanus",NA,NA,"subgenus",NA,NA,NA,NA,NA,NA,NA,"Diamanus"
"FMNH","FMNH111",NA,NA,NA,NA,NA,NA,NA,"Oropsylla (Opisocrostis) unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Oropsylla","Opisocrostis",NA,NA,"subgenus",NA,NA,NA,NA,NA,NA,NA,"Opisocrostis"
"FMNH","FMNH116",NA,NA,NA,NA,NA,NA,NA,"Oropsylla (Oropsylla) unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Oropsylla","Oropsylla",NA,NA,"subgenus",NA,NA,NA,NA,NA,NA,NA,"Oropsylla"
"FMNH","FMNH119",NA,NA,NA,NA,NA,NA,NA,"Pleochaetis unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Pleochaetis",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Pleochaetis"
"FMNH","FMNH141",NA,NA,NA,NA,NA,NA,NA,"Thrassis unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Thrassis",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Thrassis"
"FMNH","FMNH150",NA,NA,NA,NA,NA,NA,NA,"Anomiopsyllus unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Anomiopsyllus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Anomiopsyllus"
"FMNH","FMNH156",NA,NA,NA,NA,NA,NA,NA,"Atyphloceras unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Atyphloceras",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Atyphloceras"
"FMNH","FMNH168",NA,NA,NA,NA,NA,NA,NA,"Catallagia unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Catallagia",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Catallagia"
"FMNH","FMNH179",NA,NA,NA,NA,NA,NA,NA,"Corypsylla unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Corypsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Corypsylla"
"FMNH","FMNH192",NA,NA,NA,NA,NA,NA,NA,"Hystrichopsylla unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Hystrichopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Hystrichopsylla"
"FMNH","FMNH202",NA,NA,NA,NA,NA,NA,NA,"Megarthroglossus unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Megarthroglossus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Megarthroglossus"
"FMNH","FMNH221",NA,NA,NA,NA,NA,NA,NA,"Meringis unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Meringis",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Meringis"
"FMNH","FMNH232",NA,NA,NA,NA,NA,NA,NA,"Neopsylla unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Neopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Neopsylla"
"FMNH","FMNH236",NA,NA,NA,NA,NA,NA,NA,"Phalacropsylla unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Phalacropsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Phalacropsylla"
"FMNH","FMNH243",NA,NA,NA,NA,NA,NA,NA,"Rhadinopsylla unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Rhadinopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Rhadinopsylla"
"FMNH","FMNH245",NA,NA,NA,NA,NA,NA,NA,"Stenistomera unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Stenistomera",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Stenistomera"
"FMNH","FMNH247",NA,NA,NA,NA,NA,NA,NA,"Stenoponia unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Stenoponia",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Stenoponia"
"FMNH","FMNH255",NA,NA,NA,NA,NA,NA,NA,"Myodopsylla unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Myodopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Myodopsylla"
"FMNH","FMNH258",NA,NA,NA,NA,NA,NA,NA,"Nycteridopsylla unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Nycteridopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Nycteridopsylla"
"FMNH","FMNH265",NA,NA,NA,NA,NA,NA,NA,"Dolichopsyllus unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Dolichopsyllus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Dolichopsyllus"
"FMNH","FMNH270",NA,NA,NA,NA,NA,NA,NA,"Odontopsyllus unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Odontopsyllus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Odontopsyllus"
"FMNH","FMNH284",NA,NA,NA,NA,NA,NA,NA,"Peromyscopsylla unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Peromyscopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Peromyscopsylla"
"FMNH","FMNH293",NA,NA,NA,NA,NA,NA,NA,"Ctenocephalides unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Ctenocephalides",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Ctenocephalides"
