"id","order","family","genus","species","subspecies","author","taxonlevel","accid","canonical","source"
"1","Siphonaptera","Ceratophyllidae","Aetheca","wagneri",NA,"Baker, 1904","species",0,"Aetheca wagneri","FMNH"
"2","Siphonaptera","Ceratophyllidae","Amalaraeus","dissimilis","athabascae","Holland, 1952","subspecies",0,"Amalaraeus dissimilis athabascae","FMNH"
"3","Siphonaptera","Ceratophyllidae","Amalaraeus","dissimilis","dissimilis","Jordan, 1938","subspecies",0,"Amalaraeus dissimilis dissimilis","FMNH"
"4","Siphonaptera","Ceratophyllidae","Amalaraeus","dobbsi",NA,"Hubbard, 1940","species",0,"Amalaraeus dobbsi","FMNH"
"5","Siphonaptera","Ceratophyllidae","Amalaraeus","penicilliger","penicilliger","Grube, 1851","subspecies",0,"Amalaraeus penicilliger penicilliger","FMNH"
"6","Siphonaptera","Ceratophyllidae","Amaradix","bitterrootensis","bitterrootensis","Dunn, 1923","subspecies",0,"Amaradix bitterrootensis bitterrootensis","FMNH"
"7","Siphonaptera","Ceratophyllidae","Amaradix","bitterrootensis","vonfintelis","Prince, 1959","subspecies",0,"Amaradix bitterrootensis vonfintelis","FMNH"
"8","Siphonaptera","Ceratophyllidae","Amaradix","euphorbi",NA,"Rothschild, 1905","species",0,"Amaradix euphorbi","FMNH"
"9","Siphonaptera","Ceratophyllidae","Amphalius","runatus","necopinus","Jordan, 1925","subspecies",0,"Amphalius runatus necopinus","FMNH"
"10","Siphonaptera","Ceratophyllidae","Ceratophyllus","ciliatus","ciliatus","Baker, 1904","subspecies",0,"Ceratophyllus ciliatus ciliatus","FMNH"
"11","Siphonaptera","Ceratophyllidae","Ceratophyllus","ciliatus","kincaidi","Hubbard, 1947","subspecies",0,"Ceratophyllus ciliatus kincaidi","FMNH"
"12","Siphonaptera","Ceratophyllidae","Ceratophyllus","ciliatus","mononis","Jordan, 1929","subspecies",0,"Ceratophyllus ciliatus mononis","FMNH"
"13","Siphonaptera","Ceratophyllidae","Ceratophyllus","ciliatus","protinus","Jordan, 1929","subspecies",0,"Ceratophyllus ciliatus protinus","FMNH"
"14","Siphonaptera","Ceratophyllidae","Ceratophyllus","adustus",NA,"Jordan, 1923","species",0,"Ceratophyllus adustus","FMNH"
"15","Siphonaptera","Ceratophyllidae","Ceratophyllus","arcuegens",NA,"Holland, 1952","species",0,"Ceratophyllus arcuegens","FMNH"
"16","Siphonaptera","Ceratophyllidae","Ceratophyllus","celsus","celsus","Jordan, 1929","subspecies",0,"Ceratophyllus celsus celsus","FMNH"
"17","Siphonaptera","Ceratophyllidae","Ceratophyllus","celsus",NA,"Jordan, 1926","species",0,"Ceratophyllus celsus","FMNH"
"18","Siphonaptera","Ceratophyllidae","Ceratophyllus","gallinae",NA,"Schrank, 1803","species",0,"Ceratophyllus gallinae","FMNH"
"19","Siphonaptera","Ceratophyllidae","Ceratophyllus","idius",NA,"Jordan & Rothschild, 1920","species",0,"Ceratophyllus idius","FMNH"
"20","Siphonaptera","Ceratophyllidae","Ceratophyllus","lari",NA,"Holland, 1951","species",0,"Ceratophyllus lari","FMNH"
"21","Siphonaptera","Ceratophyllidae","Ceratophyllus","niger",NA,"Fox, 1908","species",0,"Ceratophyllus niger","FMNH"
"22","Siphonaptera","Ceratophyllidae","Ceratophyllus","petrochelidoni",NA,"Wagner, 1936","species",0,"Ceratophyllus petrochelidoni","FMNH"
"23","Siphonaptera","Ceratophyllidae","Ceratophyllus","rossittensis","swansoni","1974","subspecies",0,"Ceratophyllus rossittensis swansoni","FMNH"
"24","Siphonaptera","Ceratophyllidae","Ceratophyllus","scopulorum",NA,"Holland, 1952","species",0,"Ceratophyllus scopulorum","FMNH"
"25","Siphonaptera","Ceratophyllidae","Ceratophyllus","styx","riparius","Jordan & Rothschild, 1920","subspecies",0,"Ceratophyllus styx riparius","FMNH"
"26","Siphonaptera","Ceratophyllidae","Ceratophyllus","zhovtyii",NA,"Yemel'yanova & Goncharov, 1966","species",0,"Ceratophyllus zhovtyii","FMNH"
"27","Siphonaptera","Ceratophyllidae","Ceratophyllus","diffinis",NA,"Jordan, 1925","species",0,"Ceratophyllus diffinis","FMNH"
"28","Siphonaptera","Ceratophyllidae","Ceratophyllus","garei",NA,"Rothschild, 1902","species",0,"Ceratophyllus garei","FMNH"
"29","Siphonaptera","Ceratophyllidae","Ceratophyllus","sciurorum","sciurorum","Schrank, 1803","subspecies",0,"Ceratophyllus sciurorum sciurorum","FMNH"
"30","Siphonaptera","Ceratophyllidae","Ceratophyllus","vison","fousta","Hubbard, 1952","subspecies",0,"Ceratophyllus vison fousta","FMNH"
"31","Siphonaptera","Ceratophyllidae","Ceratophyllus","lunatus","tundrensis","Holland, 1945","subspecies",0,"Ceratophyllus lunatus tundrensis","FMNH"
"32","Siphonaptera","Ceratophyllidae","Ceratophyllus","affinis","neglectus","Smit, 1958","subspecies",0,"Ceratophyllus affinis neglectus","FMNH"
"33","Siphonaptera","Ceratophyllidae","Ceratophyllus","coahuilensis",NA,"Eads, 1956","species",0,"Ceratophyllus coahuilensis","FMNH"
"35","Siphonaptera","Ceratophyllidae","Ceratophyllus","vison",NA,"Baker, 1904","species",0,"Ceratophyllus vison","FMNH"
"36","Siphonaptera","Ceratophyllidae","Dactylopsylla","bluei",NA,"","species",0,"Dactylopsylla bluei","FMNH"
"37","Siphonaptera","Ceratophyllidae","Dactylopsylla","bluei","bluei","Fox, 1909","subspecies",0,"Dactylopsylla bluei bluei","FMNH"
"38","Siphonaptera","Ceratophyllidae","Dactylopsylla","bluei","psila","Prince & Stark, 1951","subspecies",0,"Dactylopsylla bluei psila","FMNH"
"39","Siphonaptera","Ceratophyllidae","Dactylopsylla","neomexicana",NA,"Prince, 1945","species",0,"Dactylopsylla neomexicana","FMNH"
"40","Siphonaptera","Ceratophyllidae","Dactylopsylla","pentachaeta",NA,"Prince & Stark, 1951","species",0,"Dactylopsylla pentachaeta","FMNH"
"41","Siphonaptera","Ceratophyllidae","Dactylopsylla","percernis",NA,"Eads & Menzies, 1949","species",0,"Dactylopsylla percernis","FMNH"
"43","Siphonaptera","Ceratophyllidae","Dasypsyllus","gallinulae","gallinulae","Dale, 1878","subspecies",0,"Dasypsyllus gallinulae gallinulae","FMNH"
"44","Siphonaptera","Ceratophyllidae","Dasypsyllus","gallinulae","perpinnatus","Baker, 1904","subspecies",0,"Dasypsyllus gallinulae perpinnatus","FMNH"
"45","Siphonaptera","Ceratophyllidae","Dasypsyllus","gallinulae",NA,"","species",0,"Dasypsyllus gallinulae","FMNH"
"47","Siphonaptera","Ceratophyllidae","Eumolpianus","cyrturus",NA,"Jordan, 1929","species",0,"Eumolpianus cyrturus","FMNH"
"48","Siphonaptera","Ceratophyllidae","Eumolpianus","eumolpi",NA,"","species",0,"Eumolpianus eumolpi","FMNH"
"49","Siphonaptera","Ceratophyllidae","Eumolpianus","eumolpi","americanus","Hubbard, 1950","subspecies",0,"Eumolpianus eumolpi americanus","FMNH"
"50","Siphonaptera","Ceratophyllidae","Eumolpianus","eumolpi","eumolpi","Rothschild, 1905","subspecies",0,"Eumolpianus eumolpi eumolpi","FMNH"
"51","Siphonaptera","Ceratophyllidae","Eumolpianus","eutamiadis",NA,"Augustson, 1942","species",0,"Eumolpianus eutamiadis","FMNH"
"52","Siphonaptera","Ceratophyllidae","Eumolpianus","fornacis",NA,"Jordan, 1937","species",0,"Eumolpianus fornacis","FMNH"
"53","Siphonaptera","Ceratophyllidae","Eumolpianus","orarius",NA,"Johnson, 1961","species",0,"Eumolpianus orarius","FMNH"
"54","Siphonaptera","Ceratophyllidae","Eumolpianus","wallowensis",NA,"Hubbard, 1950","species",0,"Eumolpianus wallowensis","FMNH"
"55","Siphonaptera","Ceratophyllidae","Foxella","ignota",NA,"","species",0,"Foxella ignota","FMNH"
"56","Siphonaptera","Ceratophyllidae","Foxella","ignota","albertensis","Jordan & Rothschild, 1915","subspecies",0,"Foxella ignota albertensis","FMNH"
"57","Siphonaptera","Ceratophyllidae","Foxella","ignota","apachina","","subspecies",0,"Foxella ignota apachina","FMNH"
"58","Siphonaptera","Ceratophyllidae","Foxella","ignota","coufferi","Augustson, 1942","subspecies",0,"Foxella ignota coufferi","FMNH"
"59","Siphonaptera","Ceratophyllidae","Foxella","ignota","franciscana","Rothschild, 1910","subspecies",0,"Foxella ignota franciscana","FMNH"
"60","Siphonaptera","Ceratophyllidae","Foxella","ignota","ignota","Baker, 1895","subspecies",0,"Foxella ignota ignota","FMNH"
"61","Siphonaptera","Ceratophyllidae","Foxella","ignota","omissa","Prince, 1945","subspecies",0,"Foxella ignota omissa","FMNH"
"62","Siphonaptera","Ceratophyllidae","Foxella","ignota","recula","Jordan & Rothschild, 1915","subspecies",0,"Foxella ignota recula","FMNH"
"63","Siphonaptera","Ceratophyllidae","Foxella","ignota","utahensis","Wagner, 1936","subspecies",0,"Foxella ignota utahensis","FMNH"
"65","Siphonaptera","Ceratophyllidae","Jellisonia","bullisi",NA,"Augustson, 1944","species",0,"Jellisonia bullisi","FMNH"
"66","Siphonaptera","Ceratophyllidae","Jellisonia","ironsi",NA,"Eads, 1947","species",0,"Jellisonia ironsi","FMNH"
"68","Siphonaptera","Ceratophyllidae","Malaraeus","telchinus",NA,"Rothschild, 1905","species",0,"Malaraeus telchinus","FMNH"
"70","Siphonaptera","Ceratophyllidae","Megabothris","abantis",NA,"Rothschild, 1905","species",0,"Megabothris abantis","FMNH"
"71","Siphonaptera","Ceratophyllidae","Megabothris","clantoni",NA,"Hubbard, 1949","species",0,"Megabothris clantoni","FMNH"
"72","Siphonaptera","Ceratophyllidae","Nosopsyllus","fasciatus",NA,"","species",0,"Nosopsyllus fasciatus","FMNH"
"73","Siphonaptera","Ceratophyllidae","Opisodasys","nesiotus",NA,"Augustson, 1941","species",0,"Opisodasys nesiotus","FMNH"
"74","Siphonaptera","Ceratophyllidae","Opisodasys","robustus",NA,"","species",0,"Opisodasys robustus","FMNH"
"75","Siphonaptera","Ceratophyllidae","Opisodasys","robustus","mexicanus","Dampf, 1942","subspecies",0,"Opisodasys robustus mexicanus","FMNH"
"76","Siphonaptera","Ceratophyllidae","Opisodasys","robustus","robustus","Jordan, 1925","subspecies",0,"Opisodasys robustus robustus","FMNH"
"77","Siphonaptera","Ceratophyllidae","Opisodasys","enoplus",NA,"Rothschild, 1909","species",0,"Opisodasys enoplus","FMNH"
