"family","subfamily","genus","species","author","namePublishedInYear","synonym(s)","source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName","dupe"
"Rhopalopsyllidae","Rhopalopsyllinae","Polygenis","dentei","Guimaráes","1947",NA,NA,1792,NA,NA,"150",NA,NA,NA,NA,"Polygenis dentei Guimaráes, 1947",NA,"Polygenis",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"dentei",NA,"species",NA,"Guimaráes, 1947",NA,"ICZN","accepted",NA,NA,"Polygenis dentei","dupe"
"Ceratophyllidae","Ceratophyllinae","Ceratophyllus","hirundinis","(Curtis)","1826",NA,NA,2624,NA,NA,"2546",NA,NA,NA,NA,"Ceratophyllus hirundinis (Curtis, 1826)",NA,"Ceratophyllus",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"hirundinis",NA,"species",NA,"(Curtis, 1826)",NA,"ICZN","accepted",NA,NA,"Ceratophyllus hirundinis","dupe"
"Ceratophyllidae","Ceratophyllinae","Thrassis","acamantis","(Rothschild)","1905",NA,NA,2676,NA,NA,"2554",NA,NA,NA,NA,"Thrassis acamantis (Rothschild, 1905)",NA,"Thrassis",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"acamantis",NA,"species",NA,"(Rothschild, 1905)",NA,"ICZN","accepted",NA,NA,"Thrassis acamantis","dupe"
"Ctenophthalmidae","Rhadinopsyllinae","Rhadinopsylla","semenovi","Argyropulo","1946",NA,NA,2802,NA,NA,"143",NA,NA,NA,NA,"Rhadinopsylla semenovi Argyropulo, 1946",NA,"Rhadinopsylla",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"semenovi",NA,"species",NA,"Argyropulo, 1946",NA,"ICZN","accepted",NA,NA,"Rhadinopsylla semenovi","dupe"
"Pulicidae","Xenopsyllinae","Xenopsylla","skrjabini","Ioff","1930",NA,NA,2837,NA,NA,"2582",NA,NA,NA,NA,"Xenopsylla skrjabini Ioff, 1930",NA,"Xenopsylla",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"skrjabini",NA,"species",NA,"Ioff, 1930",NA,"ICZN","accepted",NA,NA,"Xenopsylla skrjabini","dupe"
"Pulicidae","Archaeopsyllinae","Pulex","canis","(Curtis)","1926","Pulex canis Curtis, 1826 (junior homonym)",NA,3318,NA,"2608","141",NA,NA,NA,NA,"Pulex canis Curtis, 1826","Ctenocephalides canis","Pulex",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"canis",NA,"species",NA,"Curtis, 1826",NA,"ICZN","synonym",NA,"junior homonym","Pulex canis","dupe"
"Pulicidae","Archaeopsyllinae","Pulex","canis","(Curtis)","1926","Pulex canis Dugès, 1832 (junior homonym)",NA,3319,NA,"2608","141",NA,NA,NA,NA,"Pulex canis Dugès, 1832","Ctenocephalides canis","Pulex",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"canis",NA,"species",NA,"Dugès, 1832",NA,"ICZN","synonym",NA,"junior homonym","Pulex canis","dupe"
"Ceratophyllidae","Ceratophyllinae","Ceratophyllus","hirundinis","(Curtis)","1826","Ceratophyllus hirundinis Chao, 1947 (junior homonym)",NA,3348,NA,"2624","2546",NA,NA,NA,NA,"Ceratophyllus hirundinis Chao, 1947","Ceratophyllus hirundinis","Ceratophyllus",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"hirundinis",NA,"species",NA,"Chao, 1947",NA,"ICZN","synonym",NA,"junior homonym","Ceratophyllus hirundinis","dupe"
"Ceratophyllidae","Ceratophyllinae","Ceratophyllus","mokrzeckyi","(Wagner)","1916","Ceratophyllus acutus Baker, 1904",NA,3398,NA,"2651","2546",NA,NA,NA,NA,"Ceratophyllus acutus Baker, 1904","Nosopsyllus mokrzeckyi","Ceratophyllus",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"acutus",NA,"species",NA,"Baker, 1904",NA,"ICZN","synonym",NA,NA,"Ceratophyllus acutus","dupe"
"Ceratophyllidae","Ceratophyllinae","Oropsylla","mokrzeckyi","(Wagner)","1916","Oropsylla montana mandarina (Jordan & Rothschild, 1911)",NA,3409,NA,"2651","2663",NA,NA,NA,NA,"Oropsylla montana mandarina","Nosopsyllus mokrzeckyi","Oropsylla montana",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"montana","mandarina","subspecies",NA,NA,NA,"ICZN","synonym",NA,"Jordan & Rothschild, 1911","Oropsylla montana mandarina","dupe"
