"order","family","genus","species","subspecies","author","taxonlevel","canonical","source","id","accid","merge_tag","unique"
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","bella",NA,"Smit, 1953","species","Acanthopsylla bella","Lewis",1,0,"orig","Lewis0"
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","bisinuata",NA,"Holland, 1969","species","Acanthopsylla bisinuata","Lewis",2,0,"orig","Lewis0"
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","dunneti",NA,"Holland, 1971","species","Acanthopsylla dunneti","Lewis",3,0,"orig","Lewis0"
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","enderleini",NA,"(Wagner, 1933)","species","Acanthopsylla enderleini","Lewis",4,0,"orig","Lewis0"
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","eudromiciae",NA,"Holland, 1969","species","Acanthopsylla eudromiciae","Lewis",5,0,"orig","Lewis0"
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","franklinensis",NA,"M. Rothschild, 1936","species","Acanthopsylla franklinensis","Lewis",6,0,"orig","Lewis0"
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","guba",NA,"Smit, 1953","species","Acanthopsylla guba","Lewis",7,0,"orig","Lewis0"
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","hollandi",NA,"Lewis, 1977","species","Acanthopsylla hollandi","Lewis",8,0,"orig","Lewis0"
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","jordani",NA,"Mardon, 1973","species","Acanthopsylla jordani","Lewis",9,0,"orig","Lewis0"
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","pavida",NA,"(Rothschild, 1916)","species","Acanthopsylla pavida","Lewis",10,0,"orig","Lewis0"
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","praxilla",NA,"M. Rothschild, 1934","species","Acanthopsylla praxilla","Lewis",11,0,"orig","Lewis0"
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","rectangulata",NA,"Holland, 1971","species","Acanthopsylla rectangulata","Lewis",12,0,"orig","Lewis0"
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","richardsoni",NA,"Smit, 1953","species","Acanthopsylla richardsoni","Lewis",13,0,"orig","Lewis0"
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","saphes",NA,"Jordan & Rothschild, 1922","species","Acanthopsylla saphes","Lewis",14,0,"orig","Lewis0"
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","woodwardi",NA,"(Rothschild, 1904)","species","Acanthopsylla woodwardi","Lewis",15,0,"orig","Lewis0"
"Siphonaptera","Ctenophthalmidae","Acedestia","chera",NA,"Jordan, 1937","species","Acedestia chera","Lewis",16,0,"orig","Lewis0"
"Siphonaptera","Leptopsyllidae","Aconothobius","anthobius",NA,"Smit, 1975","species","Aconothobius anthobius","Lewis",17,0,"orig","Lewis0"
"Siphonaptera","Leptopsyllidae","Aconothobius","martensi",NA,"Smit, 1975","species","Aconothobius martensi","Lewis",18,0,"orig","Lewis0"
"Siphonaptera","Leptopsyllidae","Aconothobius","orientalis",NA,"(Lewis, Kulkarni & Bhat, 1972)","species","Aconothobius orientalis","Lewis",19,0,"orig","Lewis0"
"Siphonaptera","Leptopsyllidae","Acropsylla","episema",NA,"Rothschild, 1911","species","Acropsylla episema","Lewis",20,0,"orig","Lewis0"
"Siphonaptera","Leptopsyllidae","Acropsylla","traubi",NA,"Lewis, 1973","species","Acropsylla traubi","Lewis",21,0,"orig","Lewis0"
"Siphonaptera","Pulicidae","Actenopsylla","suavis",NA,"Jordan & Rothschild, 1923","species","Actenopsylla suavis","Lewis",22,0,"orig","Lewis0"
"Siphonaptera","Ctenophthalmidae","Adoratopsylla","bisetosa",NA,"Ewing, 1925","species","Adoratopsylla bisetosa","Lewis",23,0,"orig","Lewis0"
"Siphonaptera","Ctenophthalmidae","Adoratopsylla","dilecta",NA,"Jordan, 1938","species","Adoratopsylla dilecta","Lewis",24,0,"orig","Lewis0"
"Siphonaptera","Ctenophthalmidae","Adoratopsylla","sinuata",NA,"Guimaráes, 1945","species","Adoratopsylla sinuata","Lewis",25,0,"orig","Lewis0"
"Siphonaptera","Ceratophyllidae","Aenigmopsylla","grodekovi",NA,"Sychevsky, 1950","species","Aenigmopsylla grodekovi","Lewis",26,0,"orig","Lewis0"
"Siphonaptera","Ceratophyllidae","Aetheca","thamba",NA,"(Jordan, 1929)","species","Aetheca thamba","Lewis",27,0,"orig","Lewis0"
"Siphonaptera","Ceratophyllidae","Aetheca","wagneri",NA,"(Baker, 1904)","species","Aetheca wagneri","Lewis",28,0,"orig","Lewis0"
