"order","family","genus","species","subspecies","author","taxonlevel","canonical","source","merge_tag","id","accid"
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","bella",NA,"Smit, 1953","species","Acanthopsylla bella","Lewis","orig",1,0
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","bisinuata",NA,"Holland, 1969","species","Acanthopsylla bisinuata","Lewis","orig",2,0
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","dunneti",NA,"Holland, 1971","species","Acanthopsylla dunneti","Lewis","orig",3,0
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","enderleini",NA,"(Wagner, 1933)","species","Acanthopsylla enderleini","Lewis","orig",4,0
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","eudromiciae",NA,"Holland, 1969","species","Acanthopsylla eudromiciae","Lewis","orig",5,0
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","franklinensis",NA,"M. Rothschild, 1936","species","Acanthopsylla franklinensis","Lewis","orig",6,0
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","guba",NA,"Smit, 1953","species","Acanthopsylla guba","Lewis","orig",7,0
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","hollandi",NA,"Lewis, 1977","species","Acanthopsylla hollandi","Lewis","orig",8,0
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","jordani",NA,"Mardon, 1973","species","Acanthopsylla jordani","Lewis","orig",9,0
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","pavida",NA,"(Rothschild, 1916)","species","Acanthopsylla pavida","Lewis","orig",10,0
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","praxilla",NA,"M. Rothschild, 1934","species","Acanthopsylla praxilla","Lewis","orig",11,0
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","rectangulata",NA,"Holland, 1971","species","Acanthopsylla rectangulata","Lewis","orig",12,0
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","richardsoni",NA,"Smit, 1953","species","Acanthopsylla richardsoni","Lewis","orig",13,0
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","saphes",NA,"Jordan & Rothschild, 1922","species","Acanthopsylla saphes","Lewis","orig",14,0
"Siphonaptera","Pygiopsyllidae","Acanthopsylla","woodwardi",NA,"(Rothschild, 1904)","species","Acanthopsylla woodwardi","Lewis","orig",15,0
"Siphonaptera","Ctenophthalmidae","Acedestia","chera",NA,"Jordan, 1937","species","Acedestia chera","Lewis","orig",16,0
"Siphonaptera","Leptopsyllidae","Aconothobius","anthobius",NA,"Smit, 1975","species","Aconothobius anthobius","Lewis","orig",17,0
"Siphonaptera","Leptopsyllidae","Aconothobius","martensi",NA,"Smit, 1975","species","Aconothobius martensi","Lewis","orig",18,0
"Siphonaptera","Leptopsyllidae","Aconothobius","orientalis",NA,"(Lewis, Kulkarni & Bhat, 1972)","species","Aconothobius orientalis","Lewis","orig",19,0
"Siphonaptera","Leptopsyllidae","Acropsylla","episema",NA,"Rothschild, 1911","species","Acropsylla episema","Lewis","orig",20,0
"Siphonaptera","Leptopsyllidae","Acropsylla","traubi",NA,"Lewis, 1973","species","Acropsylla traubi","Lewis","orig",21,0
"Siphonaptera","Pulicidae","Actenopsylla","suavis",NA,"Jordan & Rothschild, 1923","species","Actenopsylla suavis","Lewis","orig",22,0
"Siphonaptera","Ctenophthalmidae","Adoratopsylla","bisetosa",NA,"Ewing, 1925","species","Adoratopsylla bisetosa","Lewis","orig",23,0
"Siphonaptera","Ctenophthalmidae","Adoratopsylla","dilecta",NA,"Jordan, 1938","species","Adoratopsylla dilecta","Lewis","orig",24,0
"Siphonaptera","Ctenophthalmidae","Adoratopsylla","sinuata",NA,"Guimaráes, 1945","species","Adoratopsylla sinuata","Lewis","orig",25,0
"Siphonaptera","Ceratophyllidae","Aenigmopsylla","grodekovi",NA,"Sychevsky, 1950","species","Aenigmopsylla grodekovi","Lewis","orig",26,0
"Siphonaptera","Ceratophyllidae","Aetheca","thamba",NA,"(Jordan, 1929)","species","Aetheca thamba","Lewis","orig",27,0
"Siphonaptera","Ceratophyllidae","Aetheca","wagneri",NA,"(Baker, 1904)","species","Aetheca wagneri","Lewis","orig",28,0
"Siphonaptera","Stivaliidae","Afristivalius","afer",NA,"Rothschild, 1908","species","Afristivalius afer","Lewis","orig",29,0
"Siphonaptera","Stivaliidae","Afristivalius","azevedoi",NA,"(Ribeiro, 1975)","species","Afristivalius azevedoi","Lewis","orig",30,0
"Siphonaptera","Stivaliidae","Afristivalius","curtiductus",NA,"(Smit, 1958)","species","Afristivalius curtiductus","Lewis","orig",31,0
"Siphonaptera","Stivaliidae","Afristivalius","fallaciosus",NA,"(Smit, 1958)","species","Afristivalius fallaciosus","Lewis","orig",32,0
"Siphonaptera","Stivaliidae","Afristivalius","hartorum",NA,"Beaucournu, Mutumbo & Laudisoit, 2015","species","Afristivalius hartorum","Lewis","orig",33,0
"Siphonaptera","Stivaliidae","Afristivalius","nigeriensis",NA,"(Jordan, 1938)","species","Afristivalius nigeriensis","Lewis","orig",34,0
"Siphonaptera","Stivaliidae","Afristivalius","parilis",NA,"(Smit, 1958)","species","Afristivalius parilis","Lewis","orig",35,0
"Siphonaptera","Stivaliidae","Afristivalius","rahmi",NA,"(Beaucournu, 1970)","species","Afristivalius rahmi","Lewis","orig",36,0
"Siphonaptera","Stivaliidae","Afristivalius","richardi",NA,"(Jordan, 1936)","species","Afristivalius richardi","Lewis","orig",37,0
"Siphonaptera","Stivaliidae","Afristivalius","sellatus",NA,"(Jordan & Rothschild, 1923)","species","Afristivalius sellatus","Lewis","orig",38,0
"Siphonaptera","Stivaliidae","Afristivalius","smitianus",NA,"(Beaucournu, 1967)","species","Afristivalius smitianus","Lewis","orig",39,0
"Siphonaptera","Stivaliidae","Afristivalius","timanus",NA,"(Jordan, 1931)","species","Afristivalius timanus","Lewis","orig",40,0
"Siphonaptera","Stivaliidae","Afristivalius","torvus",NA,"(Rothschild, 1908)","species","Afristivalius torvus","Lewis","orig",41,0
"Siphonaptera","Stivaliidae","Afristivalius","vancanneyti",NA,"(Berteaux, 1947)","species","Afristivalius vancanneyti","Lewis","orig",42,0
"Siphonaptera","Ctenophthalmidae","Agastopsylla","guzmani",NA,"Beaucournu, Moreno & González-Acuña, 2011","species","Agastopsylla guzmani","Lewis","orig",43,0
"Siphonaptera","Ctenophthalmidae","Agastopsylla","hirsutior",NA,"Traub, 1952","species","Agastopsylla hirsutior","Lewis","orig",44,0
"Siphonaptera","Ctenophthalmidae","Agastopsylla","pearsoni",NA,"Traub, 1952","species","Agastopsylla pearsoni","Lewis","orig",45,0
"Siphonaptera","Ischnopsyllidae","Alectopsylla","unisetosa",NA,"Mahnert, 1976","species","Alectopsylla unisetosa","Lewis","orig",46,0
"Siphonaptera","Ischnopsyllidae","Allopsylla","alloides",NA,"(Smit, 1977)","species","Allopsylla alloides","Lewis","orig",47,0
"Siphonaptera","Ischnopsyllidae","Allopsylla","hetera",NA,"Beaucournu & Fain, 1982","species","Allopsylla hetera","Lewis","orig",48,0
"Siphonaptera","Ischnopsyllidae","Allopsylla","lobayensis",NA,"Beaucournu & Barrière, 2002","species","Allopsylla lobayensis","Lewis","orig",49,0
"Siphonaptera","Ceratophyllidae","Amalaraeus","arvicolae",NA,"(Ioff, 1948)","species","Amalaraeus arvicolae","Lewis","orig",50,0
"Siphonaptera","Ceratophyllidae","Amalaraeus","dobbsi",NA,"(Hubbard, 1940)","species","Amalaraeus dobbsi","Lewis","orig",51,0
"Siphonaptera","Ceratophyllidae","Amalaraeus","improvisus",NA,"(Ioff, 1946)","species","Amalaraeus improvisus","Lewis","orig",52,0
"Siphonaptera","Ceratophyllidae","Amalaraeus","steineri",NA,"(Peus, 1977)","species","Amalaraeus steineri","Lewis","orig",53,0
"Siphonaptera","Ceratophyllidae","Amaradix","bitterrootensis",NA,"(Dunn, 1923)","species","Amaradix bitterrootensis","Lewis","orig",54,0
"Siphonaptera","Ceratophyllidae","Amaradix","euphorbi",NA,"(Rothschild, 1905)","species","Amaradix euphorbi","Lewis","orig",55,0
"Siphonaptera","Ceratophyllidae","Amaradix","vonfintelis",NA,"(Prince, 1959)","species","Amaradix vonfintelis","Lewis","orig",56,0
"Siphonaptera","Ceratophyllidae","Amonopsyllus","ciliatus",NA,"Baker, 1904","species","Amonopsyllus ciliatus","Lewis","orig",57,0
"Siphonaptera","Ceratophyllidae","Amphalius","manosus",NA,"Li, 1979","species","Amphalius manosus","Lewis","orig",58,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","anceps",NA,"Wagner, 1930","species","Amphipsylla anceps","Lewis","orig",59,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","apiciflata",NA,"Liu, Xu & Li, 1988","species","Amphipsylla apiciflata","Lewis","orig",60,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","argoi",NA,"Ioff, 1946","species","Amphipsylla argoi","Lewis","orig",61,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","asiatica",NA,"Ioff, 1928","species","Amphipsylla asiatica","Lewis","orig",62,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","aspalacis",NA,"Jordan, 1929","species","Amphipsylla aspalacis","Lewis","orig",63,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","casis",NA,"Jordan & Rothschild, 1911","species","Amphipsylla casis","Lewis","orig",64,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","daea",NA,"(Dampf, 1910)","species","Amphipsylla daea","Lewis","orig",65,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","dumalis",NA,"Jordan & Rothschild, 1915","species","Amphipsylla dumalis","Lewis","orig",66,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","georgica",NA,"Savenko, 1949","species","Amphipsylla georgica","Lewis","orig",67,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","germani",NA,"Emelyanova & Lyetova, 1963","species","Amphipsylla germani","Lewis","orig",68,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","jingtieshanensis",NA,"Ma, Zhang & Wang, 1979","species","Amphipsylla jingtieshanensis","Lewis","orig",69,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","kalabukhovi",NA,"Ioff & Tiflov, 1939","species","Amphipsylla kalabukhovi","Lewis","orig",70,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","kulkarnii",NA,"Lewis, 1981","species","Amphipsylla kulkarnii","Lewis","orig",71,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","montana",NA,"Argyropulo, 1946","species","Amphipsylla montana","Lewis","orig",72,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","montium",NA,"Jordan, 1944","species","Amphipsylla montium","Lewis","orig",73,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","orthogonia",NA,"Liu, Tsai & Wu, 1975","species","Amphipsylla orthogonia","Lewis","orig",74,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","parthiana",NA,"Ioff, 1950","species","Amphipsylla parthiana","Lewis","orig",75,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","paucispina",NA,"Zheng & Cai, 1998","species","Amphipsylla paucispina","Lewis","orig",76,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","petristshevae",NA,"Darskaya, 1949","species","Amphipsylla petristshevae","Lewis","orig",77,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","polyspina",NA,"Liu, Wu & Li, 1994","species","Amphipsylla polyspina","Lewis","orig",78,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","postsinusa",NA,"Liu, Guo & Wu, 1996","species","Amphipsylla postsinusa","Lewis","orig",79,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","prima",NA,"Wagner, 1928","species","Amphipsylla prima","Lewis","orig",80,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","qinghaiensis",NA,"Ren & Ji, 1979","species","Amphipsylla qinghaiensis","Lewis","orig",81,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","quadratedigita",NA,"Liu, Wu & Wu, 1965","species","Amphipsylla quadratedigita","Lewis","orig",82,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","rossica",NA,"Wagner, 1912","species","Amphipsylla rossica","Lewis","orig",83,0
