"order","family","genus","species","subspecies","author","taxonlevel","canonical","source","merge_tag","id","accid"
"Siphonaptera","Ctenophthalmidae","Adoratopsylla","sinuata",NA,"Guimaráes, 1945","species","Adoratopsylla sinuata","Lewis","orig",25,0
"Siphonaptera","Ctenophthalmidae","Agastopsylla","guzmani",NA,"Beaucournu, Moreno & González-Acuña, 2011","species","Agastopsylla guzmani","Lewis","orig",43,0
"Siphonaptera","Ischnopsyllidae","Allopsylla","lobayensis",NA,"Beaucournu & Barrière, 2002","species","Allopsylla lobayensis","Lewis","orig",49,0
"Siphonaptera","Stivaliidae","Ctenidiosomus","austrinus",NA,"López-Berrizbeitia, Hastriter & Díaz, 2015","species","Ctenidiosomus austrinus","Lewis","orig",358,0
"Siphonaptera","Ceratophyllidae","Dasypsyllus","aedon",NA,"Beaucournu, Vergara, Balboa & González-Acuña, 2006","species","Dasypsyllus aedon","Lewis","orig",521,0
"Siphonaptera","Ceratophyllidae","Dasypsyllus","huinayensis",NA,"Beaucournu, Ardiles & González-Acuña, 2009","species","Dasypsyllus huinayensis","Lewis","orig",525,0
"Siphonaptera","Ceratophyllidae","Dasypsyllus","patagonicus",NA,"Beaucournu, Muñoz-Léal & González-Acuña, 2012","species","Dasypsyllus patagonicus","Lewis","orig",527,0
"Siphonaptera","Ceratophyllidae","Dasypsyllus","picaflori",NA,"Beaucournu, Moreno & González-Acuña, 2016","species","Dasypsyllus picaflori","Lewis","orig",528,0
"Siphonaptera","Ceratophyllidae","Dasypsyllus","tapaculensis",NA,"Beaucournu, Ardiles & González-Acuña, 2009","species","Dasypsyllus tapaculensis","Lewis","orig",531,0
"Siphonaptera","Rhopalopsyllidae","Delostichus","degus",NA,"Beaucournu, Moreno & González-Acuña, 2011","species","Delostichus degus","Lewis","orig",534,0
"Siphonaptera","Rhopalopsyllidae","Ectinorus","insignis",NA,"Beaucournu & González-Acuña, 2013","species","Ectinorus insignis","Lewis","orig",626,0
"Siphonaptera","Rhopalopsyllidae","Ectinorus","lagidium",NA,"Beaucournu & González, 2005","species","Ectinorus lagidium","Lewis","orig",628,0
"Siphonaptera","Rhopalopsyllidae","Hectiella","lakoi",NA,"(Guimarães, 1948)","species","Hectiella lakoi","Lewis","orig",734,0
"Siphonaptera","Rhopalopsyllidae","Hectiella","lopesi",NA,"Guimaráes & Linardi, 1993","species","Hectiella lopesi","Lewis","orig",735,0
"Siphonaptera","Ceratophyllidae","Kohlsia","ahuacatlan",NA,"Acosta, Salceda-Sánchez & Ponce-Ulloa, 2009","species","Kohlsia ahuacatlan","Lewis","orig",837,0
"Siphonaptera","Ceratophyllidae","Kohlsia","zyanya",NA,"Acosta, Salceda-Sánchez & Ponce-Ulloa, 2009","species","Kohlsia zyanya","Lewis","orig",854,0
"Siphonaptera","Leptopsyllidae","Leptopsylla","segnis",NA,"(Schönherr, 1811)","species","Leptopsylla segnis","Lewis","orig",891,0
"Siphonaptera","Rhopalopsyllidae","Polygenis","dentei",NA,"Guimaráes, 1947","species","Polygenis dentei","Lewis","orig",1550,0
"Siphonaptera","Rhopalopsyllidae","Rhopalopsyllus","garbei",NA,"Guimaráes, 1941","species","Rhopalopsyllus garbei","Lewis","orig",1675,0
"Siphonaptera","Ceratophyllidae","Trochilopsylla","torresmurai",NA,"Beaucournu & González-Acuña, 2010","species","Trochilopsylla torresmurai","Lewis","orig",1852,0
"Siphonaptera","Tungidae","Tunga","bonneti",NA,"Beaucournu & González-Acuña (in Beaucournu, Mergey, Munoz-Leal & González-Acuña, 2012","species","Tunga bonneti","Lewis","orig",1857,0
"Siphonaptera","Ctenophthalmidae","Adoratopsylla","antiquorum","ronnai","Guimaráes, 1954","subspecies","Adoratopsylla antiquorum ronnai","Lewis","orig",1984,0
"Siphonaptera","Pulicidae","Archaeopsylla","erinacei","erinacei","(Bouché), 1835","subspecies","Archaeopsylla erinacei erinacei","Lewis","orig",2051,0
"Siphonaptera","Ceratophyllidae","Citellophilus","sungaris","lobatschevi","Cyprich, Kiefer & Krumpál, 1985","subspecies","Citellophilus sungaris lobatschevi","Lewis","orig",2096,0
"Siphonaptera","Pulicidae","Ctenocephalides","felis","felis","(Bouché), 1835","subspecies","Ctenocephalides felis felis","Lewis","orig",2116,0
"Siphonaptera","Rhopalopsyllidae","Polygenis","axius","pessoai","Guimaráes, 1956","subspecies","Polygenis axius pessoai","Lewis","orig",2591,0
"Siphonaptera","Rhopalopsyllidae","Polygenis","axius","proximus","Guimaráes, 1948","subspecies","Polygenis axius proximus","Lewis","orig",2592,0
"Siphonaptera","Rhopalopsyllidae","Polygenis","roberti","tripopsis","Guimaráes, 1948","subspecies","Polygenis roberti tripopsis","Lewis","orig",2599,0
"Siphonaptera","Rhopalopsyllidae","Rhopalopsyllus","australis","tupinquinus","Guimaráes, 1940","subspecies","Rhopalopsyllus australis tupinquinus","Lewis","orig",2624,0
"Siphonaptera","Ceratophyllidae","Pulex","columbinus",NA,"Mégnin, 1880","species","Pulex columbinus","Lewis","orig",2720,219
"Siphonaptera","Ceratophyllidae","Pulex","hirundinis",NA,"Köhler, 1832","species","Pulex hirundinis","Lewis","orig",2724,230
"Siphonaptera","Tungidae","Hectopsylla","pyttaci",NA,"Wolffhügel, 1916","species","Hectopsylla pyttaci","Lewis","orig",2787,746
"Siphonaptera","Leptopsyllidae","Pulex","musculi",NA,"Dugès, 1832","species","Pulex musculi","Lewis","orig",2803,891
"Siphonaptera","Ischnopsyllidae","Ischnopsyllus","wui",NA,"Hsü, 1935","species","Ischnopsyllus wui","Lewis","orig",2845,1200
"Siphonaptera","Rhopalopsyllidae","Polygenis","versuta",NA,"Guimarães, 1942","species","Polygenis versuta","Lewis","orig",2882,1542
"Siphonaptera","Rhopalopsyllidae","Polygenis","dentei",NA,"Guimarães, 1947","species","Polygenis dentei","Lewis","orig",2890,1566
"Siphonaptera","Rhopalopsyllidae","Polygenis","atra",NA,"Guimaráes, 1947","species","Polygenis atra","Lewis","orig",2891,1567
"Siphonaptera","Pulicidae","Pulex","cati",NA,"Mégnin, 1880","species","Pulex cati","Lewis","orig",2979,2116
"Siphonaptera","Pulicidae","Pulex","canis",NA,"Dugès, 1832","species","Pulex canis","Lewis","orig",3078,365
"Siphonaptera","Leptopsyllidae","Pulex","musculi",NA,"Bouché, 1835","species","Pulex musculi","Lewis","orig",3091,891
"Siphonaptera","Rhopalopsyllidae","Polygenis","platensis","versutus","Guimarães, 1942","subspecies","Polygenis platensis versutus","Lewis","orig",3116,1542
"Siphonaptera","Rhopalopsyllidae","Rhopalopsyllus","truncatus",NA,"Guimarães, 1936","species","Rhopalopsyllus truncatus","Lewis","orig",3117,1544
"Siphonaptera","Ischnopsyllidae","Pulex","vespertilionis",NA,"Bouché, 1835","species","Pulex vespertilionis","Lewis","orig",3224,799
"Siphonaptera","Pulicidae","Pulex","hominis",NA,"Dugès, 1832","species","Pulex hominis","Lewis","orig",3230,1584
"Siphonaptera","Ischnopsyllidae","Pulex","vespertilionis",NA,"Dugès, 1832","species","Pulex vespertilionis","Lewis","orig",3243,799
"Siphonaptera","Rhopalopsyllidae","Ectinorus","insignis",NA,"Beaucournu & González-Acuña, 2013","species","Ectinorus insignis","GBIF","add",8437,626
"Siphonaptera","Pulicidae","Pulex","vespertilionis",NA,"Dugès, 1832","species","Pulex vespertilionis","GBIF","add",8677,799
"Siphonaptera","Leptopsyllidae","Leptopsylla","musculi",NA,"A.L.Dugès, 1832","species","Leptopsylla musculi","GBIF","add",9298,891
"Siphonaptera","Leptopsyllidae","Leptopsylla","segnis",NA,"Schönherr, 1811","species","Leptopsylla segnis","GBIF","add",9303,891
"Siphonaptera","Leptopsyllidae","Leptopsylla","musculi",NA,"(A.L.Dugès, 1832)","species","Leptopsylla musculi","GBIF","add",9304,891
"Siphonaptera","Pygiopsyllidae","Ctenidiosomus","austrinus",NA,"López-Berrizbeitia, Hastriter & Díaz, 2015","species","Ctenidiosomus austrinus","GBIF","add",9488,358
"Siphonaptera","Pulicidae","Ctenocephalides","felis",NA,"Bouché, 1835","species","Ctenocephalides felis","GBIF","add",9984,2116
"Siphonaptera","Ceratophyllidae","Dasypsyllus","picaflori",NA,"Beaucournu & González-Acuña, 2016","species","Dasypsyllus picaflori","GBIF","add",11152,528
"Siphonaptera","Ceratophyllidae","Kohlsia","misantlensis",NA,"Acosta & Salceda-Sánchez, 2019","species","Kohlsia misantlensis","GBIF","add",11485,847
"Siphonaptera","Leptopsyllidae","Leptopsylla","spec",NA,"Schönherr, 1811","species","Leptopsylla spec","GBIF","new",11545,0
"Siphonaptera","Pulicidae","Archaeopsylla","erinacei",NA,"Bouché, 1835","species","Archaeopsylla erinacei","GBIF","multi",10162,8797
