"name","name_source","name_diff","similar_name","similar_source","sim_diff"
"Aviostivalius klossi","Lewis","i","Aviostivalus klossi","other","u"
"Callopsylla liui","Lewis","l","Callopsylla xui","Lewis","x"
"Callopsylla liui","Lewis","l","Callopsylla yui","Lewis","y"
"Callopsylla waterstoni","Lewis","t","Callopsylla watersoni","other","o"
"Ceratophyllus adustus","Lewis","d","Ceratophyllus acutus","Lewis","c"
"Ceratophyllus affinis","Lewis","a","Ceratophyllus diffinis","Lewis","d"
"Ceratophyllus altus","Lewis","l","Ceratophyllus acutus","Lewis","c"
"Ceratophyllus altus","Lewis","l","Ceratophyllus argus","other","r"
"Ceratophyllus garei","Lewis","g","Ceratophyllus lari","Lewis","l"
"Ceratophyllus garei","Lewis","g","Ceratophyllus dalei","Lewis","d"
"Ceratophyllus idius","Lewis","d","Ceratophyllus isus","Lewis","s"
"Ceratophyllus maculatus","Lewis","m","Ceratophyllus oculatus","Lewis","o"
"Ceratophyllus niger","Lewis","n","Ceratophyllus aeger","Lewis","a"
"Ceratophyllus sinicus","Lewis","s","Ceratophyllus oiticus","other","o"
"Ceratophyllus zhovtyi","Lewis","i","Ceratophyllus zhovtyii","other","i"
"Chaetopsylla alia","Lewis","a","Chaetopsylla lasia","Lewis","l"
"Chaetopsylla homoea","Lewis","a","Chaetopsylla homoeus","other","u"
"Chiastopsylla nama","Lewis","a","Chiastopsylla numae","Lewis","u"
"Chiastopsylla tetratricha","Lewis","a","Chiastopsylla tetratrichia","other","i"
"Cleopsylla monticola","Lewis","l","Cleopsylla monticolla","other","l"
"Conorhinopsylla nidicola","Lewis","a","Conorhinopsylla nidicoli","other","i"
"Coptopsylla bairamaliensis","Lewis","s","Coptopsylla bairamalienis","other","i"
"Ctenocephalides canis","Lewis","n","Ctenocephalides cati","other","t"
"Ctenocephalides crataepus","Lewis","a","Ctenocephalides craterus","Lewis","e"
"Ctenophthalmus acunus","Lewis","c","Ctenophthalmus arcanus","Lewis","r"
"Ctenophthalmus arvalis","Lewis","a","Ctenophthalmus nivalis","other","n"
"Ctenophthalmus caecus","Lewis","c","Ctenophthalmus parcus","Lewis","p"
"Ctenophthalmus caecus","Lewis","c","Ctenophthalmus graecus","other","g"
"Ctenophthalmus dux","Lewis","d","Ctenophthalmus lui","Lewis","l"
"Ctenophthalmus formasanus","Lewis","a","Ctenophthalmus formosanus","other","o"
"Ctenophthalmus leirsi","Lewis","i","Ctenophthalmus lewisi","Lewis","w"
"Ctenophthalmus moratus","Lewis","m","Ctenophthalmus gratus","other","g"
"Ctenophthalmus natalensis","Lewis","a","Ctenophthalmus nepalensis","Lewis","e"
"Ctenophthalmus parvus","Lewis","v","Ctenophthalmus parcus","Lewis","c"
"Dasypsyllus cteniopus","Lewis","i","Dasypsyllus ctenopius","other","o"
"Demeillionia granti","Lewis","i","Demeillonia granti","other","o"
"Dinopsyllus smiti","Lewis","D","Synopsyllus smiti","Lewis","S"
"Doratopsylla jii","Lewis","j","Doratopsylla liui","Lewis","l"
"Echidnophaga larina","Lewis","l","Echidnophaga murina","Lewis","m"
"Ectinorus budini","Lewis","u","Ectinorus boudini","other","o"
"Euhoplopsyllus andensis","Lewis","h","Euchoplopsyllus andensis","other","c"
"Euhoplopsyllus manconis","Lewis","h","Euchoplopsyllus manconis","other","c"
"Foxella ignota","Lewis","a","Foxella ignotus","other","u"
"Frontopsylla cornuta","Lewis","c","Frontopsylla ornata","Lewis","o"
"Frontopsylla diqingensis","Lewis","n","Frontopsylla diqiengensis","other","e"
"Frontopsylla laeta","Lewis","l","Frontopsylla elata","other","e"
"Hectopsylla psittaci","Lewis","s","Hectopsylla pyttaci","Lewis","y"
"Hoogstraalia novaeguineae","Lewis","a","Hoogstralia novaeguineae","other","a"
"Idiochaetis illustris","Lewis","i","Ideochaetis illustris","other","e"
"Ischnopsyllus emminus","Lewis","m","Ischnopsyllus earinus","Lewis","a"
"Ischnopsyllus liae","Lewis","a","Ischnopsyllus liui","Lewis","u"
"Ischnopsyllus octactenus","Lewis","c","Ischnopsyllus octatenus","other","t"
"Ischnopsyllus shanxiensis","Lewis","x","Ischnopsyllus shansiensis","other","s"
"Lagaropsylla hoogstraali","Lewis","t","Lagaropsylla hoogsraali","other","r"
"Lagaropsylla putila","Lewis","l","Lagaropsylla putilla","other","l"
"Libyastus notabilis","Lewis","i","Libyastus notablis","other","l"
"Macrostylophora cuiae","Lewis","c","Macrostylophora liae","Lewis","l"
"Malaraeus telchinus","Lewis","s","Malaraeus telchinum","other","m"
"Megabothris walkeri","Lewis","i","Megabothris walker","other",""
"Meringis agilis","Lewis","a","Meringis facilis","Lewis","f"
"Meringis parkeri","Lewis","p","Meringis walkeri","Lewis","w"
"Meringis parkeri","Lewis","p","Meringis bakeri","other","b"
"Metastivalius shawmayeri","Lewis","m","Metastivalius shawnmayeri","other","n"
"Neopsylla bana","Lewis","b","Neopsylla mana","Lewis","m"
"Neopsylla galea","Lewis","g","Neopsylla pagea","Lewis","p"
"Neopsylla tricata","Lewis","t","Neopsylla striata","Lewis","s"
"Neotyphloceras rosenbergi","Lewis","a","Neotyphlocerus rosenbergi","other","u"
"Nosopsyllus arcotus","Lewis","c","Nosopsyllus argutus","Lewis","g"
"Nosopsyllus fidus","Lewis","f","Nosopsyllus medus","Lewis","m"
"Nosopsyllus nicanus","Lewis","n","Nosopsyllus iranus","other","i"
"Nosopsyllus oranus","Lewis","o","Nosopsyllus iranus","other","i"
"Nosopsyllus tersus","Lewis","t","Nosopsyllus parsus","Lewis","p"
"Nycteridopsylla dictena","Lewis","a","Nycteridopsylla dictenus","other","u"
"Nycteridopsylla eusarca","Lewis","c","Nycteridopsylla eusarea","other","e"
"Nycteridopsylla liui","Lewis","l","Nycteridopsylla wui","other","w"
"Nycteridopsylla pentactena","Lewis","a","Nycteridopsylla pentactenus","other","u"
"Odontopsyllus spenceri","Lewis","u","Odontopsylla spenceri","Lewis","a"
"Ophthalmopsylla kiritschenkoi","Lewis","i","Ophthalmopsylla kiritschenkovi","other","v"
"Opisodasys robustus","Lewis","o","Opisodasys rubustus","other","u"
"Ornithophaga mikulini","Lewis","h","Ornitophaga mikulini","other","o"
"Ornithophaga sinaia","Lewis","h","Ornitophaga sinaia","other","o"
