"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"GBIF","1416868",NA,NA,"1416848",NA,NA,NA,NA,"Oropsylla alaskensis Baker, 1904",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Oropsylla",NA,"alaskensis",NA,"species",NA,"Baker, 1904",NA,NA,"accepted",NA,NA,"Oropsylla alaskensis"
"GBIF","1417079",NA,NA,"1417071",NA,NA,NA,NA,"Libyastus selindae De Meillon, 1940",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Libyastus",NA,"selindae",NA,"species",NA,"De Meillon, 1940",NA,NA,"accepted",NA,NA,"Libyastus selindae"
"GBIF","1417078",NA,NA,"1417071",NA,NA,NA,NA,"Libyastus infestus (Rothschild, 1908)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Libyastus",NA,"infestus",NA,"species",NA,"(Rothschild, 1908)",NA,NA,"accepted",NA,NA,"Libyastus infestus"
"GBIF","1417074",NA,NA,"1417071",NA,NA,NA,NA,"Libyastus piger (Jordan, 1925)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Libyastus",NA,"piger",NA,"species",NA,"(Jordan, 1925)",NA,NA,"accepted",NA,NA,"Libyastus piger"
"GBIF","1417081",NA,NA,"1417071",NA,NA,NA,NA,"Libyastus cognatus Smit, 1958",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Libyastus",NA,"cognatus",NA,"species",NA,"Smit, 1958",NA,NA,"accepted",NA,NA,"Libyastus cognatus"
"GBIF","1417626",NA,NA,"1417597",NA,NA,NA,NA,"Ischnopsyllus transcaucasicus Scalon, 1979",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae",NA,"Ischnopsyllus",NA,"transcaucasicus",NA,"species",NA,"Scalon, 1979",NA,NA,"accepted",NA,NA,"Ischnopsyllus transcaucasicus"
"GBIF","1418777",NA,NA,"1418775",NA,NA,NA,NA,"Rhadinopsylla aspalacis Ioff & Tiflov, 1946",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Rhadinopsylla",NA,"aspalacis",NA,"species",NA,"Ioff & Tiflov, 1946",NA,NA,"accepted",NA,NA,"Rhadinopsylla aspalacis"
"GBIF","1418826",NA,NA,"1418775",NA,NA,NA,NA,"Rhadinopsylla pilosa Ioff & Tiflov, 1946",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Rhadinopsylla",NA,"pilosa",NA,"species",NA,"Ioff & Tiflov, 1946",NA,NA,"accepted",NA,NA,"Rhadinopsylla pilosa"
"GBIF","1419205",NA,NA,"1419192",NA,NA,NA,NA,"Stenoponia vlasovi Ioff & Tiflov, 1934",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Stenoponia",NA,"vlasovi",NA,"species",NA,"Ioff & Tiflov, 1934",NA,NA,"accepted",NA,NA,"Stenoponia vlasovi"
"GBIF","1418854",NA,NA,"1418775",NA,NA,NA,NA,"Rhadinopsylla japonica Sakaguti & Jameson, 1956",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Rhadinopsylla",NA,"japonica",NA,"species",NA,"Sakaguti & Jameson, 1956",NA,NA,"accepted",NA,NA,"Rhadinopsylla japonica"
"GBIF","1418856",NA,NA,"1418775",NA,NA,NA,NA,"Rhadinopsylla fraterna (Baker, 1895)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Rhadinopsylla",NA,"fraterna",NA,"species",NA,"(Baker, 1895)",NA,NA,"accepted",NA,NA,"Rhadinopsylla fraterna"
"GBIF","1417604",NA,NA,"1417597",NA,NA,NA,NA,"Ischnopsyllus emminus Jordan & Rothschild, 1921",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae",NA,"Ischnopsyllus",NA,"emminus",NA,"species",NA,"Jordan & Rothschild, 1921",NA,NA,"accepted",NA,NA,"Ischnopsyllus emminus"
"GBIF","1418855",NA,NA,"1418775",NA,NA,NA,NA,"Rhadinopsylla sobrina Peus, 1958",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Rhadinopsylla",NA,"sobrina",NA,"species",NA,"Peus, 1958",NA,NA,"accepted",NA,NA,"Rhadinopsylla sobrina"
"GBIF","1418780",NA,NA,"1418775",NA,NA,NA,NA,"Rhadinopsylla valenti Darskaya, 1949",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Rhadinopsylla",NA,"valenti",NA,"species",NA,"Darskaya, 1949",NA,NA,"accepted",NA,NA,"Rhadinopsylla valenti"
"GBIF","1418852",NA,NA,"1418775",NA,NA,NA,NA,"Rhadinopsylla syriaca Lewis, 1962",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Rhadinopsylla",NA,"syriaca",NA,"species",NA,"Lewis, 1962",NA,NA,"accepted",NA,NA,"Rhadinopsylla syriaca"
"GBIF","1417630",NA,NA,"1417597",NA,NA,NA,NA,"Ischnopsyllus simplex Rothschild, 1906",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae",NA,"Ischnopsyllus",NA,"simplex",NA,"species",NA,"Rothschild, 1906",NA,NA,"accepted",NA,NA,"Ischnopsyllus simplex"
"GBIF","1418811",NA,NA,"1418775",NA,NA,NA,NA,"Rhadinopsylla jaonis Jordan, 1929",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Rhadinopsylla",NA,"jaonis",NA,"species",NA,"Jordan, 1929",NA,NA,"accepted",NA,NA,"Rhadinopsylla jaonis"
"GBIF","1418800",NA,NA,"1418775",NA,NA,NA,NA,"Rhadinopsylla media Smit, 1957",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Rhadinopsylla",NA,"media",NA,"species",NA,"Smit, 1957",NA,NA,"accepted",NA,NA,"Rhadinopsylla media"
"GBIF","1418810",NA,NA,"1418775",NA,NA,NA,NA,"Rhadinopsylla pseudodahurica Scalon, 1950",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Rhadinopsylla",NA,"pseudodahurica",NA,"species",NA,"Scalon, 1950",NA,NA,"accepted",NA,NA,"Rhadinopsylla pseudodahurica"
"GBIF","1417601",NA,NA,"1417597",NA,NA,NA,NA,"Ischnopsyllus shansiensis Liu Chiying, Hsing Chinyun & Chen Juimin, 1981",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae",NA,"Ischnopsyllus",NA,"shansiensis",NA,"species",NA,"Liu Chiying, Hsing Chinyun & Chen Juimin, 1981",NA,NA,"accepted",NA,NA,"Ischnopsyllus shansiensis"
"GBIF","1416402",NA,NA,"8854",NA,NA,NA,NA,"Polygenis Jordan, 1939",NA,NA,NA,NA,"Novit. Zool., 41",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Rhopalopsyllidae",NA,"Polygenis",NA,NA,NA,"genus",NA,"Jordan, 1939",NA,NA,"accepted",NA,NA,"Polygenis"
