"","taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","taxonomicStatus","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus"
"1",7236600,"7ddf754f-d193-4cc9-b351-99906754a03b",5329,NA,NA,"Acanthopsylla Nordberg, 1935","Nordberg, 1935","Acanthopsylla","Acanthopsylla",NA,NA,"genus",NA,"Memor. Soc. Fn. Fenn., 10","accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla"
"2",1417895,"0938172b-2086-439c-a1dd-c21cb0109ed5",5329,NA,NA,"Acanthopsylla Jordan & Rothschild, 1922","Jordan & Rothschild, 1922","Acanthopsylla","Acanthopsylla",NA,NA,"genus",NA,"Ectoparasites, 1","doubtful",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla"
"3",9770335,"7ddf754f-d193-4cc9-b351-99906754a03b",1416905,NA,8056315,"Amalaraeus penicilliger (Grube, 1851)","(Grube, 1851)","Amalaraeus penicilliger","Amalaraeus","penicilliger",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalaraeus"
"4",1416906,"7ddf754f-d193-4cc9-b351-99906754a03b",1416905,9770335,NA,"Amalaraeus penicilliger (Kolenati, 1863)","(Kolenati, 1863)","Amalaraeus penicilliger","Amalaraeus","penicilliger",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalaraeus"
"5",7970508,"0e61f8fe-7d25-4f81-ada7-d970bbb2c6d6",1417115,1417188,NA,"Ceratophyllus borealis Peus, 1966","Peus, 1966","Ceratophyllus borealis","Ceratophyllus","borealis",NA,"species",NA,NA,"heterotypic synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus"
"6",1417188,"7ddf754f-d193-4cc9-b351-99906754a03b",1417115,NA,NA,"Ceratophyllus borealis Rothschild, 1907","Rothschild, 1907","Ceratophyllus borealis","Ceratophyllus","borealis",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus"
"7",8292912,"0e61f8fe-7d25-4f81-ada7-d970bbb2c6d6",1417115,1417193,NA,"Ceratophyllus glaphyrus Dampf, 1908","Dampf, 1908","Ceratophyllus glaphyrus","Ceratophyllus","glaphyrus",NA,"species",NA,NA,"heterotypic synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus"
"8",4480853,"0e61f8fe-7d25-4f81-ada7-d970bbb2c6d6",1417115,1417210,NA,"Ceratophyllus glaphyrus Peus, 1967","Peus, 1967","Ceratophyllus glaphyrus","Ceratophyllus","glaphyrus",NA,"species",NA,NA,"heterotypic synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus"
"9",10634272,"de8934f4-a136-481c-a87a-b0b202b80a31",1416905,9770335,NA,"Ceratophyllus mustelae J.N.Wagner, 1898","J.N.Wagner, 1898","Ceratophyllus mustelae","Ceratophyllus","mustelae",NA,"species",NA,NA,"synonym",NA,"Originally found in sources as synonym of Megabothris turbidus (Rothschild, 1909)","Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalaraeus"
"10",4480838,"0e61f8fe-7d25-4f81-ada7-d970bbb2c6d6",9770335,6194295,NA,"Ceratophyllus mustelae Dale, 1878","Dale, 1878","Ceratophyllus mustelae","Ceratophyllus","mustelae",NA,"species",NA,NA,"homotypic synonym",NA,"Originally found in sources as heterotypic synonym of Megabothris turbidus (Rothschild, 1909)","Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalaraeus"
"11",1417125,"7ddf754f-d193-4cc9-b351-99906754a03b",1417115,1417193,NA,"Ceratopsyllus monedulae Dale, 1878","Dale, 1878","Ceratopsyllus monedulae","Ceratopsyllus","monedulae",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus"
"12",8242589,"7ddf754f-d193-4cc9-b351-99906754a03b",1417115,1417119,NA,"Ceratopsyllus monedulae Wahlgren, 1907","Wahlgren, 1907","Ceratopsyllus monedulae","Ceratopsyllus","monedulae",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus"
"13",10641065,"7ddf754f-d193-4cc9-b351-99906754a03b",1419466,1419468,NA,"Ctenocephalus canis (Duges, 1832)","(Duges, 1832)","Ctenocephalus canis","Ctenocephalus","canis",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Ctenocephalides"
"14",5051129,"7ddf754f-d193-4cc9-b351-99906754a03b",1419466,1419468,NA,"Ctenocephalus canis (Bouche, 1835)","(Bouche, 1835)","Ctenocephalus canis","Ctenocephalus","canis",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Ctenocephalides"
"15",5050739,"7ddf754f-d193-4cc9-b351-99906754a03b",1418195,NA,NA,"Ctenophthalmus cryptotis Traub & Barrera, 1966","Traub & Barrera, 1966","Ctenophthalmus cryptotis","Ctenophthalmus","cryptotis",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus"
"16",7470817,"eeb7bd4b-37ed-4366-8557-4661cf7f47b0",1418195,NA,NA,"Ctenophthalmus cryptotis Acosta & Morrone, 2005","Acosta & Morrone, 2005","Ctenophthalmus cryptotis","Ctenophthalmus","cryptotis",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Ctenophthalmus cryptotis Traub & Barrera, 1966","Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus"
"17",3255795,"7ddf754f-d193-4cc9-b351-99906754a03b",9010,NA,NA,"Eopsylla Vishniakova, 1976","Vishniakova, 1976","Eopsylla","Eopsylla",NA,NA,"genus",NA,"Paleont. Zh. 1976 (2)","accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Eopsylla"
"18",1419038,"0938172b-2086-439c-a1dd-c21cb0109ed5",9010,NA,NA,"Eopsylla Ioff, 1946","Ioff, 1946","Eopsylla","Eopsylla",NA,NA,"genus",NA,"Med. Parasitol., Moscow, 15 (4)","doubtful",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Eopsylla"
"19",9040837,"7ddf754f-d193-4cc9-b351-99906754a03b",1417787,6193953,NA,"Frontopsylla frontalis baibacina Dzie, 1956","Dzie, 1956","Frontopsylla frontalis baibacina","Frontopsylla","frontalis","baibacina","subspecies",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Frontopsylla"
"20",6193953,"7ddf754f-d193-4cc9-b351-99906754a03b",1417787,NA,NA,"Frontopsylla frontalis baibacina Ji Shuli, 1979","Ji Shuli, 1979","Frontopsylla frontalis baibacina","Frontopsylla","frontalis","baibacina","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Frontopsylla"
"21",7514998,"eeb7bd4b-37ed-4366-8557-4661cf7f47b0",1419147,NA,NA,"Hystrichopsylla cryptotis Traub & Barrera, 1966","Traub & Barrera, 1966","Hystrichopsylla cryptotis","Hystrichopsylla","cryptotis",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Hystrichopsylla"
"22",8421563,"08d3e209-861c-4a7a-ad64-307baaf6da0b",1419147,NA,NA,"Hystrichopsylla cryptotis Acosta & Morrone, 2005","Acosta & Morrone, 2005","Hystrichopsylla cryptotis","Hystrichopsylla","cryptotis",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Hystrichopsylla cryptotis Traub & Barrera, 1966","Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Hystrichopsylla"
"23",9018443,"6cfd67d6-4f9b-400b-8549-1933ac27936f",8791008,NA,NA,"Jellisonia breviloba barrerai Hastriter, 2005","Hastriter, 2005","Jellisonia breviloba barrerai","Jellisonia","breviloba","barrerai","subspecies",NA,NA,"accepted",NA,"Possible variant of Jellisonia breviloba subsp. barrerai ND","Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Jellisonia"
"24",8773975,"6cfd67d6-4f9b-400b-8549-1933ac27936f",8791008,NA,NA,"Jellisonia breviloba barrerai ND","ND","Jellisonia breviloba barrerai","Jellisonia","breviloba","barrerai","subspecies",NA,NA,"doubtful",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Jellisonia"
"25",1418987,"7ddf754f-d193-4cc9-b351-99906754a03b",1418978,NA,NA,"Meringis dipodomys Kohs, 1938","Kohs, 1938","Meringis dipodomys","Meringis","dipodomys",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Meringis"
"26",9196176,"6cfd67d6-4f9b-400b-8549-1933ac27936f",1418978,NA,NA,"Meringis dipodomys Kohls","Kohls","Meringis dipodomys","Meringis","dipodomys",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Meringis dipodomys Kohs, 1938","Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Meringis"
"27",1417319,"7ddf754f-d193-4cc9-b351-99906754a03b",1417236,NA,NA,"Nosopsyllus medus Jordan, 1938","Jordan, 1938","Nosopsyllus medus","Nosopsyllus","medus",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Nosopsyllus"
"28",9764459,"070850ee-3501-4232-88c6-c5bed10a65eb",1417236,NA,NA,"Nosopsyllus medus Lewis & Lewis, 1990","Lewis & Lewis, 1990","Nosopsyllus medus","Nosopsyllus","medus",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Nosopsyllus medus Jordan, 1938","Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Nosopsyllus"
"29",6194140,"7ddf754f-d193-4cc9-b351-99906754a03b",1417042,6194139,NA,"Paraceras melis sinensis (Sakaguti, 1962)","(Sakaguti, 1962)","Paraceras melis sinensis","Paraceras","melis","sinensis","subspecies",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Paraceras"
"30",10448907,"7ddf754f-d193-4cc9-b351-99906754a03b",1417042,6194139,6194137,"Paraceras melis sinensis (Liu, 1935)","(Liu, 1935)","Paraceras melis sinensis","Paraceras","melis","sinensis","subspecies",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Paraceras"
"31",9064488,"6cfd67d6-4f9b-400b-8549-1933ac27936f",1417927,NA,NA,"Peromyscopsylla scotti Fox","Fox","Peromyscopsylla scotti","Peromyscopsylla","scotti",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Peromyscopsylla scotti I.Fox, 1939","Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Peromyscopsylla"
"32",1417954,"7ddf754f-d193-4cc9-b351-99906754a03b",1417927,NA,NA,"Peromyscopsylla scotti I.Fox, 1939","I.Fox, 1939","Peromyscopsylla scotti","Peromyscopsylla","scotti",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Peromyscopsylla"
"33",9100504,"90d9e8a6-0ce1-472d-b682-3451095dbc5a",1418775,1418803,NA,"Rhadinopsylla bureschi Argyropulo, 1941","Argyropulo, 1941","Rhadinopsylla bureschi","Rhadinopsylla","bureschi",NA,"species",NA,NA,"heterotypic synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Rhadinopsylla"
"34",1418803,"7ddf754f-d193-4cc9-b351-99906754a03b",1418775,NA,NA,"Rhadinopsylla bureschi Jordan, 1929","Jordan, 1929","Rhadinopsylla bureschi","Rhadinopsylla","bureschi",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Rhadinopsylla"
"35",1418787,"7ddf754f-d193-4cc9-b351-99906754a03b",1418775,NA,NA,"Rhadinopsylla pitymydis Zavattari, 1914","Zavattari, 1914","Rhadinopsylla pitymydis","Rhadinopsylla","pitymydis",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Rhadinopsylla"
"36",7963706,"0e61f8fe-7d25-4f81-ada7-d970bbb2c6d6",1418775,1418790,NA,"Rhadinopsylla pitymydis Launay & Beaucournu, 1983","Launay & Beaucournu, 1983","Rhadinopsylla pitymydis","Rhadinopsylla","pitymydis",NA,"species",NA,NA,"heterotypic synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Rhadinopsylla"
"37",10489172,"4cec8fef-f129-4966-89b7-4f8439aba058",1419562,NA,NA,"BOLD:ACD7675",NA,NA,NA,NA,NA,"unranked",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Spilopsyllus"
"38",9828177,"4cec8fef-f129-4966-89b7-4f8439aba058",5051157,NA,NA,"BOLD:ACD5345",NA,NA,NA,NA,NA,"unranked",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla"
"39",10065688,"4cec8fef-f129-4966-89b7-4f8439aba058",1418576,NA,NA,"BOLD:AAC3901",NA,NA,NA,NA,NA,"unranked",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Corrodopsylla"
"40",10014003,"4cec8fef-f129-4966-89b7-4f8439aba058",1417014,6194307,NA,"BOLD:AAF9681",NA,NA,NA,NA,NA,"unranked",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Orchopeas"
"41",10612830,"4cec8fef-f129-4966-89b7-4f8439aba058",1416327,NA,NA,"BOLD:ACD7479",NA,NA,NA,NA,NA,"unranked",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stephanocircidae","Stephanocircus"
"42",10257946,"4cec8fef-f129-4966-89b7-4f8439aba058",1416921,NA,NA,"BOLD:AAJ2058",NA,NA,NA,NA,NA,"unranked",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalaraeus"
"43",10093357,"4cec8fef-f129-4966-89b7-4f8439aba058",1419499,NA,NA,"BOLD:AAF9686",NA,NA,NA,NA,NA,"unranked",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Cediopsylla"
"44",9950728,"4cec8fef-f129-4966-89b7-4f8439aba058",1419485,NA,NA,"BOLD:AAF9688",NA,NA,NA,NA,NA,"unranked",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Ctenocephalides"
"45",10043724,"4cec8fef-f129-4966-89b7-4f8439aba058",1419317,NA,NA,"BOLD:ADK7046",NA,NA,NA,NA,NA,"unranked",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Echidnophaga"
"46",10123163,"4cec8fef-f129-4966-89b7-4f8439aba058",1416652,NA,NA,"BOLD:AAF9683",NA,NA,NA,NA,NA,"unranked",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Foxella"
