"taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","taxonomicStatus","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus"
5051162,"7ddf754f-d193-4cc9-b351-99906754a03b",7236600,NA,NA,"Acanthopsylla bella Smit, 1953","Smit, 1953","Acanthopsylla bella","Acanthopsylla","bella",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla"
5051146,"7ddf754f-d193-4cc9-b351-99906754a03b",7236600,NA,NA,"Acanthopsylla bisinuata Hollanad, 1969","Hollanad, 1969","Acanthopsylla bisinuata","Acanthopsylla","bisinuata",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla"
5051155,"7ddf754f-d193-4cc9-b351-99906754a03b",7236600,NA,NA,"Acanthopsylla dunneti Holland, 1971","Holland, 1971","Acanthopsylla dunneti","Acanthopsylla","dunneti",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla"
5051163,"7ddf754f-d193-4cc9-b351-99906754a03b",7236600,NA,NA,"Acanthopsylla enderleini (Wagner, 1933)","(Wagner, 1933)","Acanthopsylla enderleini","Acanthopsylla","enderleini",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla"
5051147,"7ddf754f-d193-4cc9-b351-99906754a03b",7236600,NA,NA,"Acanthopsylla eudromiciae Holland, 1969","Holland, 1969","Acanthopsylla eudromiciae","Acanthopsylla","eudromiciae",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla"
5051156,"7ddf754f-d193-4cc9-b351-99906754a03b",7236600,NA,NA,"Acanthopsylla franklinensis M.Rothschild, 1936","M.Rothschild, 1936","Acanthopsylla franklinensis","Acanthopsylla","franklinensis",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla"
5051164,"7ddf754f-d193-4cc9-b351-99906754a03b",7236600,NA,NA,"Acanthopsylla guba Smit, 1953","Smit, 1953","Acanthopsylla guba","Acanthopsylla","guba",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla"
8284225,"7ddf754f-d193-4cc9-b351-99906754a03b",1417762,"1417818",NA,"Acanthopsylla hollandi Lewis, 1977","Lewis, 1977","Acanthopsylla hollandi","Acanthopsylla","hollandi",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Frontopsylla"
5051157,"7ddf754f-d193-4cc9-b351-99906754a03b",7236600,NA,NA,"Acanthopsylla jordani Mardon, 1973","Mardon, 1973","Acanthopsylla jordani","Acanthopsylla","jordani",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla"
8790125,"de8934f4-a136-481c-a87a-b0b202b80a31",1417762,"1417823",NA,"Acanthopsylla lapponica Nordberg, 1935","Nordberg, 1935","Acanthopsylla lapponica","Acanthopsylla","lapponica",NA,"species",NA,NA,"homotypic synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Frontopsylla"
