"taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","taxonomicStatus","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus"
9449218,NA,1419003,"6194511",NA,"? copha Jordan, 1926","Jordan, 1926","? copha","?","copha",NA,"unranked",NA,NA,"homotypic synonym",NA,"Originally found in sources as doubtful taxon within Hystrichopsyllidae","Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla"
10323909,NA,9010,NA,NA,"? dasycnema Rothschild, 1897","Rothschild, 1897","? dasycnema","?","dasycnema",NA,"unranked",NA,NA,"doubtful",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA
9509548,NA,5050879,"5050883",NA,"? heselhausi Oudemans, 1914","Oudemans, 1914","? heselhausi","?","heselhausi",NA,"unranked",NA,NA,"homotypic synonym",NA,"Originally found in sources as doubtful taxon within Hystrichopsyllidae","Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus"
9261166,NA,1419000,"1419003",NA,"? intermedia Wagner, 1901","Wagner, 1901","? intermedia","?","intermedia",NA,"unranked",NA,NA,"homotypic synonym",NA,"Originally found in sources as doubtful taxon within Hystrichopsyllidae","Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla"
9046152,NA,9770335,"6194299",NA,"? kratochvili Rosicky, 1955","Rosicky, 1955","? kratochvili","?","kratochvili",NA,"unranked",NA,NA,"homotypic synonym",NA,"Originally found in sources as doubtful taxon within Ceratophyllidae","Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalaraeus"
9155602,NA,1418632,"1418633",NA,"? kunaveri Brelih, 1975","Brelih, 1975","? kunaveri","?","kunaveri",NA,"unranked",NA,NA,"synonym",NA,"Originally found in sources as doubtful taxon within Hystrichopsyllidae","Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Genoneopsylla"
9202591,NA,9770335,"6194297",NA,"? pedias Rothschild, 1911","Rothschild, 1911","? pedias","?","pedias",NA,"unranked",NA,NA,"homotypic synonym",NA,"Originally found in sources as doubtful taxon within Ceratophyllidae","Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalaraeus"
8056315,NA,1416905,"9770335",NA,"? penicilliger Grube, 1851","Grube, 1851","? penicilliger","?","penicilliger",NA,"unranked",NA,NA,"homotypic synonym",NA,"Originally found in sources as doubtful taxon within Ceratophyllidae","Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalaraeus"
8807181,NA,1417014,"6194308",NA,"? schisintus Jordan, 1929","Jordan, 1929","? schisintus","?","schisintus",NA,"unranked",NA,NA,"homotypic synonym",NA,"Originally found in sources as doubtful taxon within Ceratophyllidae","Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Orchopeas"
7450579,NA,1416800,"1416801",NA,"? sciurorum Schrank, 1803","Schrank, 1803","? sciurorum","?","sciurorum",NA,"unranked",NA,NA,"homotypic synonym",NA,"Originally found in sources as doubtful taxon within Ceratophyllidae","Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Monopsyllus"
