"COVERAGE","taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","taxonomicStatus","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus","source","scientificNameID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","namePublishedInYear","higherClassification","subgenus","verbatimTaxonRank","vernacularName","nomenclaturalCode","reason"
"BOTH","6193972","7ddf754f-d193-4cc9-b351-99906754a03b","1417812",NA,NA,"Frontopsylla spadix cansa Rothschild, 1932","Rothschild, 1932","Frontopsylla spadix cansa","Frontopsylla","spadix","cansa","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Frontopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","5051034","7ddf754f-d193-4cc9-b351-99906754a03b","1418659",NA,NA,"Neopsylla marleaneae Lewis, 1971","Lewis, 1971","Neopsylla marleaneae","Neopsylla","marleaneae",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Neopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","1417246","7ddf754f-d193-4cc9-b351-99906754a03b","1417236",NA,NA,"Nosopsyllus ziarus Klein, 1963","Klein, 1963","Nosopsyllus ziarus","Nosopsyllus","ziarus",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Nosopsyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","1416490","7ddf754f-d193-4cc9-b351-99906754a03b","1416477",NA,NA,"Parapsyllus heardi De Meillon, 1952","De Meillon, 1952","Parapsyllus heardi","Parapsyllus","heardi",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Rhopalopsyllidae","Parapsyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","5051030","7ddf754f-d193-4cc9-b351-99906754a03b","5051028",NA,NA,"Ctenophthalmus bifidatus mancus Beaucournu & Ohran, 1986","Beaucournu & Ohran, 1986","Ctenophthalmus bifidatus mancus","Ctenophthalmus","bifidatus","mancus","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","5051000","7ddf754f-d193-4cc9-b351-99906754a03b","5050990",NA,NA,"Ctenophthalmus agyrtes bosnicus Wagner, 1930","Wagner, 1930","Ctenophthalmus agyrtes bosnicus","Ctenophthalmus","agyrtes","bosnicus","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","6194326","7ddf754f-d193-4cc9-b351-99906754a03b","1416887",NA,NA,"Myoxopsylla laverani traubi Lewis, 1966","Lewis, 1966","Myoxopsylla laverani traubi","Myoxopsylla","laverani","traubi","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Myoxopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","6194128","7ddf754f-d193-4cc9-b351-99906754a03b","1416999",NA,NA,"Megabothris clantoni johnsoni Hubbard, 1949","Hubbard, 1949","Megabothris clantoni johnsoni","Megabothris","clantoni","johnsoni","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Megabothris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","6194127","7ddf754f-d193-4cc9-b351-99906754a03b","1416999",NA,NA,"Megabothris clantoni princei Hubbard, 1949","Hubbard, 1949","Megabothris clantoni princei","Megabothris","clantoni","princei","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Megabothris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","5050876","7ddf754f-d193-4cc9-b351-99906754a03b","5050874",NA,NA,"Ctenophthalmus costai libanensis Lewis, 1970","Lewis, 1970","Ctenophthalmus costai libanensis","Ctenophthalmus","costai","libanensis","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
