"id","order","family","genus","species","subspecies","author","taxonlevel","accid","canonical","source"
5051162,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","bella",NA,"Smit, 1953","species",0,"Acanthopsylla bella","GBIF"
5051146,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","bisinuata",NA,"Hollanad, 1969","species",0,"Acanthopsylla bisinuata","GBIF"
5051155,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","dunneti",NA,"Holland, 1971","species",0,"Acanthopsylla dunneti","GBIF"
5051163,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","enderleini",NA,"(Wagner, 1933)","species",0,"Acanthopsylla enderleini","GBIF"
5051147,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","eudromiciae",NA,"Holland, 1969","species",0,"Acanthopsylla eudromiciae","GBIF"
5051156,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","franklinensis",NA,"M.Rothschild, 1936","species",0,"Acanthopsylla franklinensis","GBIF"
5051164,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","guba",NA,"Smit, 1953","species",0,"Acanthopsylla guba","GBIF"
8284225,"Siphonaptera","Leptopsyllidae","Frontopsylla","hollandi",NA,"Lewis, 1977","species",1417818,"Frontopsylla hollandi","GBIF"
5051157,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","jordani",NA,"Mardon, 1973","species",0,"Acanthopsylla jordani","GBIF"
8790125,"Siphonaptera","Leptopsyllidae","Frontopsylla","lapponica",NA,"Nordberg, 1935","species",1417823,"Frontopsylla lapponica","GBIF"
5051165,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","pavida",NA,"(Rothschild, 1916)","species",0,"Acanthopsylla pavida","GBIF"
5051158,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","praxilla",NA,"M.Rothschild, 1934","species",0,"Acanthopsylla praxilla","GBIF"
5051154,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","rectangulata",NA,"Holland, 1971","species",0,"Acanthopsylla rectangulata","GBIF"
5051166,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","richardsoni",NA,"Smit, 1953","species",0,"Acanthopsylla richardsoni","GBIF"
5051148,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","rothschildi",NA,"(Rainbow, 1905)","species",0,"Acanthopsylla rothschildi","GBIF"
6194420,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","rothschildi","multidentata","Holland, 1971","subspecies",0,"Acanthopsylla rothschildi multidentata","GBIF"
6194418,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","rothschildi","nereis","Jordan & Rothschild, 1922","subspecies",0,"Acanthopsylla rothschildi nereis","GBIF"
7198720,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","rothschildi","rothschildi","(Rainbow, 1905)","subspecies",0,"Acanthopsylla rothschildi rothschildi","GBIF"
6194419,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","rothschildi","victoriana","Jordan & Rothschild, 1922","subspecies",5051148,"Acanthopsylla rothschildi victoriana","GBIF"
5051153,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","saphes",NA,"Jordan & Rothschild, 1922","species",0,"Acanthopsylla saphes","GBIF"
5051159,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","scintilla",NA,"(M.Rothschild, 1936)","species",0,"Acanthopsylla scintilla","GBIF"
7198721,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","scintilla","scintilla","(M.Rothschild, 1936)","subspecies",0,"Acanthopsylla scintilla scintilla","GBIF"
6194416,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","scintilla","tasmanica","Holland, 1971","subspecies",0,"Acanthopsylla scintilla tasmanica","GBIF"
7766066,"Siphonaptera","Leptopsyllidae","Frontopsylla","utia",NA,"Ji, 1979","species",1417787,"Frontopsylla utia","GBIF"
5051145,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","woodwardi",NA,"(Rothschild, 1904)","species",0,"Acanthopsylla woodwardi","GBIF"
1419267,"Siphonaptera","Hystrichopsyllidae","Acedestia","chera",NA,"Jordan, 1937","species",0,"Acedestia chera","GBIF"
