"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
NA,1,NA,NA,NA,NA,NA,NA,NA,"Aconothobius Smit, 1975",NA,"Amphipsyllinae",NA,NA,NA,"1975",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Aconothobius",NA,NA,NA,"genus",NA,"Smit, 1975",NA,"ICZN","accepted",NA,NA,"Aconothobius"
NA,2,NA,NA,NA,NA,NA,NA,NA,"Acropsylla Rothschild, 1911",NA,"Amphipsyllinae",NA,NA,NA,"1911",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Acropsylla",NA,NA,NA,"genus",NA,"Rothschild, 1911",NA,"ICZN","accepted",NA,NA,"Acropsylla"
NA,3,NA,NA,NA,NA,NA,NA,NA,"Amphipsylla Wagner, 1909",NA,"Amphipsyllinae",NA,NA,NA,"1909",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Amphipsylla",NA,NA,NA,"genus",NA,"Wagner, 1909",NA,"ICZN","accepted",NA,NA,"Amphipsylla"
NA,4,NA,NA,NA,NA,NA,NA,NA,"Brachyctenonotus Wagner, 1928",NA,"Amphipsyllinae",NA,NA,NA,"1928",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Brachyctenonotus",NA,NA,NA,"genus",NA,"Wagner, 1928",NA,"ICZN","accepted",NA,NA,"Brachyctenonotus"
NA,5,NA,NA,NA,NA,NA,NA,NA,"Caenopsylla Rothschild, 1909",NA,"Amphipsyllinae",NA,NA,NA,"1909",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Caenopsylla",NA,NA,NA,"genus",NA,"Rothschild, 1909",NA,"ICZN","accepted",NA,NA,"Caenopsylla"
NA,6,NA,NA,NA,NA,NA,NA,NA,"Calceopsylla Liu, Wu & Wang, 1965",NA,"Amphipsyllinae",NA,NA,NA,"1965",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Calceopsylla",NA,NA,NA,"genus",NA,"Liu, Wu & Wang, 1965",NA,"ICZN","accepted",NA,NA,"Calceopsylla"
NA,7,NA,NA,NA,NA,NA,NA,NA,"Chinghaipsylla Liu, Tsai & Wu, 1974",NA,"Amphipsyllinae",NA,NA,NA,"1974",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Chinghaipsylla",NA,NA,NA,"genus",NA,"Liu, Tsai & Wu, 1974",NA,"ICZN","accepted",NA,NA,"Chinghaipsylla"
NA,8,NA,NA,NA,NA,NA,NA,NA,"Conothobius Ioff, 1950",NA,"Amphipsyllinae",NA,NA,NA,"1950",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Conothobius",NA,NA,NA,"genus",NA,"Ioff, 1950",NA,"ICZN","accepted",NA,NA,"Conothobius"
NA,9,NA,NA,NA,NA,NA,NA,NA,"Ctenophyllus Wagner, 1927",NA,"Amphipsyllinae",NA,NA,NA,"1927",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Ctenophyllus",NA,NA,NA,"genus",NA,"Wagner, 1927",NA,"ICZN","accepted",NA,NA,"Ctenophyllus"
NA,10,NA,NA,NA,NA,NA,NA,NA,"Desertopsylla Argyropulo, 1946",NA,"Amphipsyllinae",NA,NA,NA,"1946",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Desertopsylla",NA,NA,NA,"genus",NA,"Argyropulo, 1946",NA,"ICZN","accepted",NA,NA,"Desertopsylla"
