"family","subfamily","genus","species","author","namePublishedInYear","synonym(s)","source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
NA,NA,NA,NA,NA,NA,"Amalaraeus fossoris Sutemin, 1969 (nomina ex phantasia)","Lewis",NA,NA,NA,NA,NA,NA,NA,NA,"review",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"review",NA,NA,NA,NA,"accepted",NA,NA,"review"
NA,NA,NA,NA,NA,NA,"Amalaraeus sugitanii Sutemin, 1969 (nomina ex phantasia)","Lewis",NA,NA,NA,NA,NA,NA,NA,NA,"review",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"review",NA,NA,NA,NA,"accepted",NA,NA,"review"
NA,NA,NA,NA,NA,NA,"Ceratophyllus sterni Curt., [1829] (cited in Dale, 1878, but no associated valid species)","Lewis",NA,NA,NA,NA,NA,NA,NA,NA,"review",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"review",NA,NA,NA,NA,"accepted",NA,NA,"review"
NA,NA,NA,NA,NA,NA,"Ctenophthalmus flavus Suteminn, 1969 (nomina ex phantasia)","Lewis",NA,NA,NA,NA,NA,NA,NA,NA,"review",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"review",NA,NA,NA,NA,"accepted",NA,NA,"review"
NA,NA,NA,NA,NA,NA,"Ctenophthalmus nepalensis Sutemin, 1969 (nomina ex phantasia)","Lewis",NA,NA,NA,NA,NA,NA,NA,NA,"review",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"review",NA,NA,NA,NA,"accepted",NA,NA,"review"
NA,NA,NA,NA,NA,NA,"Pulex gigas Kirby, 1837 (likely a species of Hystrichopsylla)","Lewis",NA,NA,NA,NA,NA,NA,NA,NA,"review",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"review",NA,NA,NA,NA,"accepted",NA,NA,"review"
NA,NA,NA,NA,NA,NA,"Pulex imperator Westwood, 1858 (non-flea)","Lewis",NA,NA,NA,NA,NA,NA,NA,NA,"review",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"review",NA,NA,NA,NA,"accepted",NA,NA,"review"
NA,NA,NA,NA,NA,NA,"Pulex terrestris ferox Alpinus, 1874 (nomina ex phantasia)","Lewis",NA,NA,NA,NA,NA,NA,NA,NA,"review",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"review",NA,NA,NA,NA,"accepted",NA,NA,"review"
NA,NA,NA,NA,NA,NA,"Amalaraeus fossoris Sutemin, 1969 (nomina ex phantasia)","Lewis","2775",NA,NA,NA,NA,NA,NA,NA,"Amalaraeus fossoris Sutemin, 1969",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"review",NA,"fossoris Sutemin, 1969",NA,NA,"synonym",NA,NA,"review"
NA,NA,NA,NA,NA,NA,"Amalaraeus sugitanii Sutemin, 1969 (nomina ex phantasia)","Lewis","2776",NA,NA,NA,NA,NA,NA,NA,"Amalaraeus sugitanii Sutemin, 1969",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"review",NA,"sugitanii Sutemin, 1969",NA,NA,"synonym",NA,NA,"review"
NA,NA,NA,NA,NA,NA,"Ceratophyllus sterni Curt., [1829] (cited in Dale, 1878, but no associated valid species)","Lewis","2777",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus sterni Curt., [1829]",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"review",NA,"sterni Curt., [1829]",NA,NA,"synonym",NA,NA,"review"
NA,NA,NA,NA,NA,NA,"Ctenophthalmus flavus Suteminn, 1969 (nomina ex phantasia)","Lewis","2778",NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus flavus Suteminn, 1969",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"review",NA,"flavus Suteminn, 1969",NA,NA,"synonym",NA,NA,"review"
NA,NA,NA,NA,NA,NA,"Ctenophthalmus nepalensis Sutemin, 1969 (nomina ex phantasia)","Lewis","2779",NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus nepalensis Sutemin, 1969",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"review",NA,"nepalensis Sutemin, 1969",NA,NA,"synonym",NA,NA,"review"
