"source","taxonID","species","author","synonym(s)","fossil","reason"
"Lewis",3450,NA,"Jordan & Rothschild",NA,NA,NA
"Lewis",3451,NA,"Jordan",NA,NA,NA
"Lewis",3452,NA,"Smit",NA,NA,NA
"Lewis",3453,NA,"Rothschild",NA,NA,NA
"Lewis",3454,NA,"Jordan & Rothschild",NA,NA,NA
"Lewis",3455,NA,"Ewing",NA,NA,NA
"Lewis",3456,NA,"Ioff",NA,NA,NA
"Lewis",3457,NA,"Smit",NA,NA,NA
"Lewis",3458,NA,"Traub",NA,NA,NA
"Lewis",3459,NA,"Jordan & Rothschild",NA,NA,NA
"Lewis",3460,NA,"Mahnert",NA,NA,NA
"Lewis",3461,NA,"Beaucournu & Fain",NA,NA,NA
"Lewis",3462,NA,"Ioff",NA,NA,NA
"Lewis",3463,NA,"Smit",NA,NA,NA
"Lewis",3464,NA,"Wagner",NA,NA,NA
"Lewis",3465,NA,"Jordan",NA,NA,NA
"Lewis",3466,NA,"Wagner",NA,NA,NA
"Lewis",3467,NA,"Toumanoff & Fuller",NA,NA,NA
"Lewis",3468,NA,"Baker",NA,NA,NA
"Lewis",3469,NA,"Jordan",NA,NA,NA
"Lewis",3470,NA,"Jordan & Rothschild",NA,NA,NA
"Lewis",3471,NA,"Jordan & Rothschild",NA,NA,NA
"Lewis",3472,NA,"Smit",NA,NA,NA
"Lewis",3473,NA,"Poinar",NA,"Fossil",NA
"Lewis",3474,NA,"Jordan & Rothschild",NA,NA,NA
"Lewis",3475,NA,"Holland",NA,NA,NA
"Lewis",3476,NA,"Traub",NA,NA,NA
"Lewis",3477,NA,"Smit",NA,NA,NA
"Lewis",3478,NA,"Smit",NA,NA,NA
"Lewis",3479,NA,"Jordan",NA,NA,NA
"Lewis",3480,NA,"Traub",NA,NA,NA
"Lewis",3481,NA,"Wagner",NA,NA,NA
"Lewis",3482,NA,"Jordan",NA,NA,NA
"Lewis",3483,NA,"Liu & Li",NA,NA,NA
"Lewis",3484,NA,"Rothschild",NA,NA,NA
"Lewis",3485,NA,"Liu, Wu & Wang",NA,NA,NA
