"family","subfamily","genus","species","author","namePublishedInYear","synonym(s)","TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"Pulicidae","Spilopsyllinae","Acediopsylla","tepolita","Barrera",1967,"Acediopsylla Ewing, 1940; Cediopsylla Jordan, 1925","Lewis",2791,"NA","NA","Lewis13","NA","NA","NA","NA","NA","Acediopsylla Ewing, 1940","Spilopsyllus tepolita Barrera, 1967","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","review","NA","Ewing, 1940","NA","NA","synonym","NA","NA","Acediopsylla"
"Pulicidae","Spilopsyllinae","Acediopsylla","spillmanni","Jordan",1930,"Acediopsylla Ewing, 1940; Cediopsylla Jordan, 1925","Lewis",2792,"NA","NA","Lewis15","NA","NA","NA","NA","NA","Acediopsylla Ewing, 1940","Spilopsyllus spillmanni Jordan, 1930","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","review","NA","Ewing, 1940","NA","NA","synonym","NA","NA","Acediopsylla"
"Pulicidae","Spilopsyllinae","Acediopsylla","inaequalis inaequalis","(Baker)",1895,"Acediopsylla Ewing, 1940; Cediopsylla Jordan, 1925","Lewis",3038,"NA","NA","Lewis11","NA","NA","NA","NA","NA","Acediopsylla Ewing, 1940","Spilopsyllus inaequalis inaequalis (Baker, 1895)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","review","NA","Ewing, 1940","NA","NA","synonym","NA","NA","Acediopsylla"
"Pulicidae","Spilopsyllinae","Acediopsylla","inaequalis interrupta","Jordan",1925,"Acediopsylla Ewing, 1940; Cediopsylla Jordan, 1925","Lewis",3039,"NA","NA","Lewis14","NA","NA","NA","NA","NA","Acediopsylla Ewing, 1940","Spilopsyllus inaequalis interrupta Jordan, 1925","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","review","NA","Ewing, 1940","NA","NA","synonym","NA","NA","Acediopsylla"
"Pulicidae","Spilopsyllinae","Cediopsylla","tepolita","Barrera",1967,"Acediopsylla Ewing, 1940; Cediopsylla Jordan, 1925","Lewis",3172,"NA","NA","Lewis13","NA","NA","NA","NA","NA","Cediopsylla Jordan, 1925","Spilopsyllus tepolita Barrera, 1967","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","review","NA","Jordan, 1925","NA","NA","synonym","NA","NA","Cediopsylla"
"Pulicidae","Spilopsyllinae","Cediopsylla","spillmanni","Jordan",1930,"Acediopsylla Ewing, 1940; Cediopsylla Jordan, 1925","Lewis",3173,"NA","NA","Lewis15","NA","NA","NA","NA","NA","Cediopsylla Jordan, 1925","Spilopsyllus spillmanni Jordan, 1930","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","review","NA","Jordan, 1925","NA","NA","synonym","NA","NA","Cediopsylla"
"Pulicidae","Spilopsyllinae","Cediopsylla","inaequalis inaequalis","(Baker)",1895,"Acediopsylla Ewing, 1940; Cediopsylla Jordan, 1925","Lewis",3247,"NA","NA","Lewis11","NA","NA","NA","NA","NA","Cediopsylla Jordan, 1925","Spilopsyllus inaequalis inaequalis (Baker, 1895)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","review","NA","Jordan, 1925","NA","NA","synonym","NA","NA","Cediopsylla"
"Pulicidae","Spilopsyllinae","Cediopsylla","inaequalis interrupta","Jordan",1925,"Acediopsylla Ewing, 1940; Cediopsylla Jordan, 1925","Lewis",3248,"NA","NA","Lewis14","NA","NA","NA","NA","NA","Cediopsylla Jordan, 1925","Spilopsyllus inaequalis interrupta Jordan, 1925","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","NA","NA","review","NA","Jordan, 1925","NA","NA","synonym","NA","NA","Cediopsylla"
"Ceratophyllidae","Ceratophyllinae","Ceratophyllus","mokrzeckyi","(Wagner)",1916,"Ceratophyllus acutus Baker, 1904; Diamanus hopkinsi Vargas, 1955; Oropsylla montana mandarina (Jordan & Rothschild, 1911); Ceratophyllus sucinus Jordan & Rothschild, 1921","Lewis",2814,"NA","NA","Lewis57","NA","NA","NA","NA","NA","Ceratophyllus acutus Baker, 1904","Nosopsyllus mokrzeckyi (Wagner, 1916)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","acutus","NA","species","NA","Baker, 1904","NA","NA","synonym","NA","NA","Ceratophyllus acutus"
"Ceratophyllidae","Ceratophyllinae","Ceratophyllus","montana","(Baker)",1895,"Ceratophyllus acutus Baker, 1904; Oropsylla montana mandarina (Jordan & Rothschild, 1911); Diamanus hopkinsi Vargas, 1955","Lewis",2815,"NA","NA","Lewis58","NA","NA","NA","NA","NA","Ceratophyllus acutus Baker, 1904","Oropsylla montana (Baker, 1895)","NA","NA","NA","NA","NA","Animalia","Arthropoda","Insecta","Siphonaptera","NA","acutus","NA","species","NA","Baker, 1904","NA","NA","synonym","NA","NA","Ceratophyllus acutus"
