"family","subfamily","genus","species","author","namePublishedInYear","synonym(s)","fossil","source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName","reason"
"Ischnopsyllidae","Ischnopsyllinae","Sternopsylla",NA,"Jordan & Rothschild","1921",NA,NA,"Lewis",3690,NA,NA,NA,NA,NA,NA,NA,"Sternopsylla Jordan & Rothschild, 1921",NA,"Ischnopsyllinae",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1921",NA,"ICZN","accepted",NA,NA,"Sternopsylla","dupe"
"Ceratophyllidae","Ceratophyllinae","Ceratophyllus","hirundinis","(Curtis)","1826",NA,NA,"Lewis",1858,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus hirundinis (Curtis, 1826)",NA,"Ceratophyllus",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"hirundinis",NA,"species",NA,"(Curtis, 1826)",NA,"ICZN","accepted",NA,NA,"Ceratophyllus hirundinis","dupe"
"Ctenophthalmidae","Ctenophthalminae","Spalacopsylla",NA,"Kolenati","1856","Spalacopsylla Kolenati, 1856",NA,"Lewis",666,NA,"3531",NA,NA,NA,NA,NA,"Spalacopsylla Kolenati, 1856","Ctenophthalmus","Ctenophthalminae",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Kolenati, 1856",NA,"ICZN","synonym",NA,NA,"Spalacopsylla","dupe"
"Ischnopsyllidae","Ischnopsyllinae","Spalacopsylla",NA,"Westwood","1906","Spalacopsylla Oudemans, 1906 (rejected by ICZN, 1963)",NA,"Lewis",667,NA,"3578",NA,NA,NA,NA,NA,"Spalacopsylla Oudemans, 1906","Ischnopsyllus","Ischnopsyllinae",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Oudemans, 1906",NA,"ICZN","synonym",NA,"rejected by ICZN, 1963","Spalacopsylla","dupe"
"Ctenophthalmidae","Doratopsyllinae","Spalacopsylla",NA,"Ewing","1930","Spalacopsylla Pinto, 1930",NA,"Lewis",668,NA,"3472",NA,NA,NA,NA,NA,"Spalacopsylla Pinto, 1930","Adoratopsylla","Doratopsyllinae",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Pinto, 1930",NA,"ICZN","synonym",NA,NA,"Spalacopsylla","dupe"
"Ischnopsyllidae","Ischnopsyllinae","Sternopsylla",NA,"Westwood","1921","Sternopsylla Jordan & Rothschild, 1921",NA,"Lewis",682,NA,"3578",NA,NA,NA,NA,NA,"Sternopsylla Jordan & Rothschild, 1921","Ischnopsyllus","Ischnopsyllinae",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1921",NA,"ICZN","synonym",NA,NA,"Sternopsylla","dupe"
"Ceratophyllidae","Ceratophyllinae","Ceratophyllus","hirundinis","(Curtis)","1947","Ceratophyllus hirundinis Chao, 1947 (junior homonym)",NA,"Lewis",126,NA,"1858",NA,NA,NA,NA,NA,"Ceratophyllus hirundinis Chao, 1947","Ceratophyllus hirundinis","Ceratophyllus",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"hirundinis",NA,"species",NA,"Chao, 1947",NA,"ICZN","synonym",NA,"junior homonym","Ceratophyllus hirundinis","dupe"
"Ischnopsyllidae","Ischnopsyllinae","Ceratophyllus","octactenus","(Kolenati)","1898","Ceratophyllus variabilis decimpilata Wagner, 1898",NA,"Lewis",210,NA,"2508",NA,NA,NA,NA,NA,"Ceratophyllus variabilis decimpilata Wagner, 1898","Ischnopsyllus octactenus","Ceratophyllus variabilis",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"variabilis","decimpilata","subspecies",NA,"Wagner, 1898",NA,"ICZN","synonym",NA,NA,"Ceratophyllus variabilis decimpilata","dupe"
"Ischnopsyllidae","Ischnopsyllinae","Ceratophyllus","variabilis","(Wagner)","1898","Ceratophyllus variabilis decimpilata Wagner, 1898",NA,"Lewis",211,NA,"3342",NA,NA,NA,NA,NA,"Ceratophyllus variabilis decimpilata Wagner, 1898","Ischnopsyllus variabilis","Ceratophyllus variabilis",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"variabilis","decimpilata","subspecies",NA,"Wagner, 1898",NA,"ICZN","synonym",NA,NA,"Ceratophyllus variabilis decimpilata","dupe"
"Leptopsyllidae","Leptopsyllinae","Ctenophthalmus","segnis","(Schönherr)","1859","Ctenophthalmus bisbidentatus Kolenati, 1859",NA,"Lewis",274,NA,"2926",NA,NA,NA,NA,NA,"Ctenophthalmus bisbidentatus Kolenati, 1859","Leptopsylla segnis","Ctenophthalmus",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"bisbidentatus",NA,"species",NA,"Kolenati, 1859",NA,"ICZN","synonym",NA,NA,"Ctenophthalmus bisbidentatus","dupe"
"Leptopsyllidae","Leptopsyllinae","Pulex","segnis","(Schönherr)","1835","Pulex musculi Bouché, 1835 (junior homonym of Pulex musculi Dugès, 1832)",NA,"Lewis",596,NA,"2926",NA,NA,NA,NA,NA,"Pulex musculi Bouché, 1835","Leptopsylla segnis","Pulex",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"musculi",NA,"species",NA,"Bouché, 1835",NA,"ICZN","synonym",NA,"junior homonym of Pulex musculi Dugès, 1832","Pulex musculi","dupe"
"Leptopsyllidae","Leptopsyllinae","Pulex","segnis","(Schönherr)","1832","Pulex musculi Dugès, 1832",NA,"Lewis",597,NA,"2926",NA,NA,NA,NA,NA,"Pulex musculi Dugès, 1832","Leptopsylla segnis","Pulex",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"musculi",NA,"species",NA,"Dugès, 1832",NA,"ICZN","synonym",NA,NA,"Pulex musculi","dupe"
"Ischnopsyllidae","Ischnopsyllinae","Pulex","hexactenus","(Kolenati)","1835","Pulex vespertilionis Bouché, 1835",NA,"Lewis",621,NA,"1839",NA,NA,NA,NA,NA,"Pulex vespertilionis Bouché, 1835","Ischnopsyllus hexactenus","Pulex",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"vespertilionis",NA,"species",NA,"Bouché, 1835",NA,"ICZN","synonym",NA,NA,"Pulex vespertilionis","dupe"
