"id","order","family","genus","species","subspecies","author","taxonlevel","accid","canonical","source"
1,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","bella",NA,"Smit, 1953","species",0,"Acanthopsylla bella","Lewis"
2,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","bisinuata",NA,"Holland, 1969","species",0,"Acanthopsylla bisinuata","Lewis"
3,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","dunneti",NA,"Holland, 1971","species",0,"Acanthopsylla dunneti","Lewis"
4,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","enderleini",NA,"(Wagner, 1933)","species",0,"Acanthopsylla enderleini","Lewis"
5,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","eudromiciae",NA,"Holland, 1969","species",0,"Acanthopsylla eudromiciae","Lewis"
6,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","franklinensis",NA,"M. Rothschild, 1936","species",0,"Acanthopsylla franklinensis","Lewis"
7,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","guba",NA,"Smit, 1953","species",0,"Acanthopsylla guba","Lewis"
8,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","hollandi",NA,"Lewis, 1977","species",0,"Acanthopsylla hollandi","Lewis"
9,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","jordani",NA,"Mardon, 1973","species",0,"Acanthopsylla jordani","Lewis"
10,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","pavida",NA,"(Rothschild, 1916)","species",0,"Acanthopsylla pavida","Lewis"
11,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","praxilla",NA,"M. Rothschild, 1934","species",0,"Acanthopsylla praxilla","Lewis"
12,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","rectangulata",NA,"Holland, 1971","species",0,"Acanthopsylla rectangulata","Lewis"
13,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","richardsoni",NA,"Smit, 1953","species",0,"Acanthopsylla richardsoni","Lewis"
