"TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"NMNH",989,NA,NA,NA,NA,NA,NA,NA,NA,"Anomiopsyllus",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Anomiopsyllus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Anomiopsyllus"
"NMNH",78,NA,NA,NA,NA,NA,NA,NA,NA,"Araeopsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Araeopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Araeopsylla"
"NMNH",992,NA,NA,NA,NA,NA,NA,NA,NA,"Atyphloceras",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Atyphloceras",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Atyphloceras"
"NMNH",998,NA,NA,NA,NA,NA,NA,NA,NA,"Catallagia",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Catallagia",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Catallagia"
"NMNH",500,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus"
"NMNH",249,NA,NA,NA,NA,NA,NA,NA,NA,"Chiastopsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Chimaeropsyllidae","Chiastopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Chiastopsylla"
"NMNH",113,NA,NA,NA,NA,NA,NA,NA,NA,"Chiropteropsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Chiropteropsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Chiropteropsylla"
"NMNH",435,NA,NA,NA,NA,NA,NA,NA,NA,"Citellophilus",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Citellophilus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Citellophilus"
"NMNH",1004,NA,NA,NA,NA,NA,NA,NA,NA,"Corypsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Corypsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Corypsylla"
"NMNH",729,NA,NA,NA,NA,NA,NA,NA,NA,"Craneopsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stephanocircidae","Craneopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Craneopsylla"
"NMNH",186,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenocephalides",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Ctenocephalides",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Ctenocephalides"
"NMNH",385,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus"
"NMNH",907,NA,NA,NA,NA,NA,NA,NA,NA,"Dactylopsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Dactylopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Dactylopsylla"
"NMNH",957,NA,NA,NA,NA,NA,NA,NA,NA,"Dasypsyllus",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Dasypsyllus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Dasypsyllus"
"NMNH",768,NA,NA,NA,NA,NA,NA,NA,NA,"Demeillonia",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Chimaeropsyllidae","Demeillonia",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Demeillonia"
"NMNH",933,NA,NA,NA,NA,NA,NA,NA,NA,"Oropsylla (Diamanus)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Oropsylla","Diamanus",NA,NA,"subgenus",NA,NA,NA,NA,NA,NA,NA,"Diamanus"
