"id","order","family","genus","species","subspecies","author","taxonlevel","accid","canonical","source"
1,"Siphonaptera","Ceratophyllidae","Nosopsyllus","londiniensis","declivus","Traub, 1963","subspecies",0,"Nosopsyllus londiniensis declivus","NMNH"
2,"Siphonaptera","Ceratophyllidae","Kohlsia","traubi",NA,"Tipton & Mendez, 1961","species",0,"Kohlsia traubi","NMNH"
3,"Siphonaptera","Ceratophyllidae","Nosopsyllus","geneatus",NA,"Traub, 1963","species",0,"Nosopsyllus geneatus","NMNH"
4,"Siphonaptera","Hystrichopsyllidae","Ctenophthalmus","russulae","tangerensis","","subspecies",0,"Ctenophthalmus russulae tangerensis","NMNH"
5,"Siphonaptera","Hystrichopsyllidae","Epitedia","cavernicola",NA,"Traub, 1957","species",0,"Epitedia cavernicola","NMNH"
6,"Siphonaptera","Rhopalopsyllidae","Ectinorus","hecate",NA,"Johnson, 1957","species",0,"Ectinorus hecate","NMNH"
7,"Siphonaptera","Rhopalopsyllidae","Ectinorus","gallardoi",NA,"Hastriter, 2001","species",0,"Ectinorus gallardoi","NMNH"
8,"Siphonaptera","Ceratophyllidae","Macrostylophora","levis",NA,"Jordan & Rothschild, 1922","species",0,"Macrostylophora levis","NMNH"
9,"Siphonaptera","Ceratophyllidae","Myoxopsylla","laverani","traubi","Lewis, 1966","subspecies",0,"Myoxopsylla laverani traubi","NMNH"
10,"Siphonaptera","Ceratophyllidae","Thrassis","francisi","barnesi","Stark, 1970","subspecies",0,"Thrassis francisi barnesi","NMNH"
11,"Siphonaptera","Hystrichopsyllidae","Phalacropsylla","hamata",NA,"Tipton & Mendez, 1968","species",0,"Phalacropsylla hamata","NMNH"
12,"Siphonaptera","Hystrichopsyllidae","Rhadinopsylla","sectilis","goodi","","subspecies",0,"Rhadinopsylla sectilis goodi","NMNH"
13,"Siphonaptera","Rhopalopsyllidae","Ectinorus","chilensis",NA,"Lewis, 1976","species",0,"Ectinorus chilensis","NMNH"
14,"Siphonaptera","Rhopalopsyllidae","Ectinorus","martini",NA,"Lewis, 1976","species",0,"Ectinorus martini","NMNH"
15,"Siphonaptera","Ceratophyllidae","Aetheca","thamba",NA,"Jordan, 1929","species",0,"Aetheca thamba","NMNH"
16,"Siphonaptera","Ceratophyllidae","Ceratophyllus","argus",NA,"Rothschild, 1908","species",0,"Ceratophyllus argus","NMNH"
17,"Siphonaptera","Ceratophyllidae","Macrostylophora","pilata",NA,"Jordan & Rothschild, 1922","species",0,"Macrostylophora pilata","NMNH"
18,"Siphonaptera","Ceratophyllidae","Ceratophyllus","anisus",NA,"Rothschild, 1907","species",0,"Ceratophyllus anisus","NMNH"
19,"Siphonaptera","Ceratophyllidae","Ceratophyllus","indages",NA,"Rothschild, 1908","species",0,"Ceratophyllus indages","NMNH"
20,"Siphonaptera","Ceratophyllidae","Libyastus","infestus",NA,"Rothschild, 1908","species",0,"Libyastus infestus","NMNH"
21,"Siphonaptera","Ceratophyllidae","Libyastus","wilsoni",NA,"Hubbard, 1963","species",0,"Libyastus wilsoni","NMNH"
22,"Siphonaptera","Ceratophyllidae","Malaraeus","sinomus",NA,"Jordan, 1925","species",0,"Malaraeus sinomus","NMNH"
23,"Siphonaptera","Ceratophyllidae","Megabothris","groenlandicus",NA,"Wahlgren, 1903","species",0,"Megabothris groenlandicus","NMNH"
24,"Siphonaptera","Ceratophyllidae","Megabothris","lucifer",NA,"Rothschild, 1905","species",0,"Megabothris lucifer","NMNH"
