"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"GBIF, CoL, NMNH, FMNH","1416868",NA,NA,"1416848",NA,NA,NA,NA,"Oropsylla alaskensis Baker, 1904",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Oropsylla",NA,"alaskensis",NA,"species",NA,"Baker, 1904",NA,NA,"accepted",NA,NA,"Oropsylla alaskensis"
"GBIF, CoL","1417630",NA,NA,"1417597",NA,NA,NA,NA,"Ischnopsyllus simplex Rothschild, 1906",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae",NA,"Ischnopsyllus",NA,"simplex",NA,"species",NA,"Rothschild, 1906",NA,NA,"accepted",NA,NA,"Ischnopsyllus simplex"
"GBIF, CoL","1417601",NA,NA,"1417597",NA,NA,NA,NA,"Ischnopsyllus shansiensis Liu Chiying, Hsing Chinyun & Chen Juimin, 1981",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae",NA,"Ischnopsyllus",NA,"shansiensis",NA,"species",NA,"Liu Chiying, Hsing Chinyun & Chen Juimin, 1981",NA,NA,"accepted",NA,NA,"Ischnopsyllus shansiensis"
"GBIF","10216363",NA,NA,"1419663",NA,NA,NA,NA,"BOLD:ACD4650",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae",NA,"Pygiopsylla",NA,NA,NA,"unranked",NA,NA,NA,NA,"accepted",NA,NA,NA
"GBIF, CoL","6194245",NA,7198681,"1416801",NA,NA,NA,NA,"Ceratophyllus sciurorum bolivari Gil Collado, 1948",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Monopsyllus",NA,"sciurorum","bolivari","subspecies",NA,"Gil Collado, 1948",NA,NA,"synonym",NA,NA,"Ceratophyllus sciurorum bolivari"
"GBIF, CoL","1416810",NA,1416809,"1416800",NA,NA,NA,NA,"Concavopsylla lucidus Baker, 1904",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Monopsyllus",NA,"lucidus",NA,"species",NA,"Baker, 1904",NA,NA,"synonym",NA,NA,"Concavopsylla lucidus"
"GBIF, CoL","5050813",NA,5050811,"1418195",NA,NA,NA,NA,"Ctenophthalmus septentrionalis De Meillon, 1940",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Ctenophthalmus",NA,"septentrionalis",NA,"species",NA,"De Meillon, 1940",NA,NA,"synonym",NA,NA,"Ctenophthalmus septentrionalis"
"GBIF, CoL","5050812",NA,5050811,"1418195",NA,NA,NA,NA,"Ctenophthalmus isochaetus Wagner, 1930",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Ctenophthalmus",NA,"isochaetus",NA,"species",NA,"Wagner, 1930",NA,NA,"synonym",NA,NA,"Ctenophthalmus isochaetus"
"GBIF, CoL","4770158",NA,5050734,"1418195",NA,NA,NA,NA,"Typhlopsylla israelicus Lewis, 1970",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Ctenophthalmus",NA,"israelicus",NA,"species",NA,"Lewis, 1970",NA,NA,"synonym",NA,NA,"Typhlopsylla israelicus"
"GBIF","9455188",NA,7198578,"5050953",NA,NA,NA,NA,"Spalacopsylla congener Oudemans, 1913",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Ctenophthalmus",NA,"congener",NA,"species",NA,"Oudemans, 1913",NA,NA,"synonym",NA,NA,"Spalacopsylla congener"
