"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"Lewis, CoL, GBIF",3327,NA,NA,NA,NA,NA,NA,NA,"Acanthopsylla Jordan & Rothschild, 1922",NA,"Pygiopsyllidae",NA,NA,NA,1922,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae",NA,"Acanthopsylla",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1922",NA,"ICZN","accepted",NA,NA,"Acanthopsylla"
"Lewis, CoL, GBIF",3328,NA,NA,NA,NA,NA,NA,NA,"Acedestia Jordan, 1937",NA,"Doratopsyllinae",NA,NA,NA,1937,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Doratopsyllinae","Acedestia",NA,NA,NA,"genus",NA,"Jordan, 1937",NA,"ICZN","accepted",NA,NA,"Acedestia"
"Lewis, CoL, GBIF",3329,NA,NA,NA,NA,NA,NA,NA,"Aconothobius Smit, 1975",NA,"Amphipsyllinae",NA,NA,NA,1975,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Aconothobius",NA,NA,NA,"genus",NA,"Smit, 1975",NA,"ICZN","accepted",NA,NA,"Aconothobius"
"Lewis, CoL, GBIF",3330,NA,NA,NA,NA,NA,NA,NA,"Acropsylla Rothschild, 1911",NA,"Amphipsyllinae",NA,NA,NA,1911,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Acropsylla",NA,NA,NA,"genus",NA,"Rothschild, 1911",NA,"ICZN","accepted",NA,NA,"Acropsylla"
"Lewis, CoL, GBIF",3331,NA,NA,NA,NA,NA,NA,NA,"Actenopsylla Jordan & Rothschild, 1923",NA,"Spilopsyllinae",NA,NA,NA,1923,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Spilopsyllinae","Actenopsylla",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1923",NA,"ICZN","accepted",NA,NA,"Actenopsylla"
"Lewis, CoL, GBIF",3332,NA,NA,NA,NA,NA,NA,NA,"Adoratopsylla Ewing, 1925",NA,"Doratopsyllinae",NA,NA,NA,1925,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Doratopsyllinae","Adoratopsylla",NA,NA,NA,"genus",NA,"Ewing, 1925",NA,"ICZN","accepted",NA,NA,"Adoratopsylla"
"Lewis, CoL, GBIF",3333,NA,NA,NA,NA,NA,NA,NA,"Aenigmopsylla Ioff, 1950",NA,"Ceratophyllinae",NA,NA,NA,1950,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Aenigmopsylla",NA,NA,NA,"genus",NA,"Ioff, 1950",NA,"ICZN","accepted",NA,NA,"Aenigmopsylla"
"Lewis, CoL, GBIF",3334,NA,NA,NA,NA,NA,NA,NA,"Aetheca Smit, 1983",NA,"Ceratophyllinae",NA,NA,NA,1983,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Aetheca",NA,NA,NA,"genus",NA,"Smit, 1983",NA,"ICZN","accepted",NA,NA,"Aetheca"
"Lewis, CoL, GBIF",3335,NA,NA,NA,NA,NA,NA,NA,"Afristivalius Traub, 1980",NA,"Stivaliidae",NA,NA,NA,1980,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae",NA,"Afristivalius",NA,NA,NA,"genus",NA,"Traub, 1980",NA,"ICZN","accepted",NA,NA,"Afristivalius"
"Lewis, CoL, GBIF",3336,NA,NA,NA,NA,NA,NA,NA,"Agastopsylla Jordan & Rothschild, 1923",NA,"Ctenophthalminae",NA,NA,NA,1923,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Ctenophthalminae","Agastopsylla",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1923",NA,"ICZN","accepted",NA,NA,"Agastopsylla"
"Lewis, CoL, GBIF",3337,NA,NA,NA,NA,NA,NA,NA,"Alectopsylla Mahnert, 1976",NA,"Ischnopsyllinae",NA,NA,NA,1976,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Ischnopsyllinae","Alectopsylla",NA,NA,NA,"genus",NA,"Mahnert, 1976",NA,"ICZN","accepted",NA,NA,"Alectopsylla"
"Lewis, CoL, GBIF",3338,NA,NA,NA,NA,NA,NA,NA,"Allopsylla Beaucournu & Fain, 1982",NA,"Ischnopsyllinae",NA,NA,NA,1982,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Ischnopsyllinae","Allopsylla",NA,NA,NA,"genus",NA,"Beaucournu & Fain, 1982",NA,"ICZN","accepted",NA,NA,"Allopsylla"
"Lewis, CoL, GBIF",3339,NA,NA,NA,NA,NA,NA,NA,"Amalaraeus Ioff, 1936",NA,"Ceratophyllinae",NA,NA,NA,1936,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Amalaraeus",NA,NA,NA,"genus",NA,"Ioff, 1936",NA,"ICZN","accepted",NA,NA,"Amalaraeus"
"Lewis, CoL, GBIF",3340,NA,NA,NA,NA,NA,NA,NA,"Amaradix Smit, 1983",NA,"Ceratophyllinae",NA,NA,NA,1983,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Amaradix",NA,NA,NA,"genus",NA,"Smit, 1983",NA,"ICZN","accepted",NA,NA,"Amaradix"
"Lewis, GBIF",3341,NA,NA,NA,NA,NA,NA,NA,"Amonopsyllus Wagner, 1938",NA,"Ceratophyllinae",NA,NA,NA,1938,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Amonopsyllus",NA,NA,NA,"genus",NA,"Wagner, 1938",NA,"ICZN","accepted",NA,NA,"Amonopsyllus"
"Lewis, CoL, GBIF",3342,NA,NA,NA,NA,NA,NA,NA,"Amphalius Jordan, 1933",NA,"Ceratophyllinae",NA,NA,NA,1933,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Amphalius",NA,NA,NA,"genus",NA,"Jordan, 1933",NA,"ICZN","accepted",NA,NA,"Amphalius"
"Lewis, CoL, GBIF",3343,NA,NA,NA,NA,NA,NA,NA,"Amphipsylla Wagner, 1909",NA,"Amphipsyllinae",NA,NA,NA,1909,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Amphipsylla",NA,NA,NA,"genus",NA,"Wagner, 1909",NA,"ICZN","accepted",NA,NA,"Amphipsylla"
"Lewis, CoL, GBIF",3344,NA,NA,NA,NA,NA,NA,NA,"Ancistropsylla Toumanoff & Fuller, 1947",NA,"Ancistropsyllidae",NA,NA,NA,1947,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ancistropsyllidae",NA,"Ancistropsylla",NA,NA,NA,"genus",NA,"Toumanoff & Fuller, 1947",NA,"ICZN","accepted",NA,NA,"Ancistropsylla"
"Lewis, CoL, FMNH, GBIF, NMNH",3345,NA,NA,NA,NA,NA,NA,NA,"Anomiopsyllus Baker, 1904",NA,"Anomiopsyllinae",NA,NA,NA,1904,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Anomiopsyllinae","Anomiopsyllus",NA,NA,NA,"genus",NA,"Baker, 1904",NA,"ICZN","accepted",NA,NA,"Anomiopsyllus"
"Lewis, CoL, GBIF",3346,NA,NA,NA,NA,NA,NA,NA,"Aphropsylla Jordan, 1932",NA,"Archaeopsyllinae",NA,NA,NA,1932,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Archaeopsyllinae","Aphropsylla",NA,NA,NA,"genus",NA,"Jordan, 1932",NA,"ICZN","accepted",NA,NA,"Aphropsylla"
"Lewis, CoL, GBIF, NMNH",3347,NA,NA,NA,NA,NA,NA,NA,"Araeopsylla Jordan & Rothschild, 1921",NA,"Ischnopsyllinae",NA,NA,NA,1921,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Ischnopsyllinae","Araeopsylla",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1921",NA,"ICZN","accepted",NA,NA,"Araeopsylla"
"Lewis, CoL, GBIF",3348,NA,NA,NA,NA,NA,NA,NA,"Archaeopsylla Jordan & Rothschild, 1921",NA,"Archaeopsyllinae",NA,NA,NA,1921,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Archaeopsyllinae","Archaeopsylla",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1921",NA,"ICZN","accepted",NA,NA,"Archaeopsylla"
"Lewis, CoL, GBIF",3349,NA,NA,NA,NA,NA,NA,NA,"Astivalius Smit, 1953",NA,"Stivaliidae",NA,NA,NA,1953,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae",NA,"Astivalius",NA,NA,NA,"genus",NA,"Smit, 1953",NA,"ICZN","accepted",NA,NA,"Astivalius"
"Lewis, GBIF",3350,NA,NA,NA,NA,NA,NA,NA,"Atopopsyllus Poinar, 2015",NA,NA,NA,NA,NA,2015,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,"Atopopsyllus",NA,NA,NA,"genus",NA,"Poinar, 2015",NA,"ICZN","accepted",NA,"fossil","Atopopsyllus"
"Lewis, CoL, FMNH, GBIF, NMNH",3351,NA,NA,NA,NA,NA,NA,NA,"Atyphloceras Jordan & Rothschild, 1915",NA,"Hystrichopsyllinae",NA,NA,NA,1915,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Hystrichopsyllinae","Atyphloceras",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1915",NA,"ICZN","accepted",NA,NA,"Atyphloceras"
"Lewis, CoL, GBIF",3352,NA,NA,NA,NA,NA,NA,NA,"Austropsylla Holland, 1971",NA,"Pygiopsyllidae",NA,NA,NA,1971,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae",NA,"Austropsylla",NA,NA,NA,"genus",NA,"Holland, 1971",NA,"ICZN","accepted",NA,NA,"Austropsylla"
