"family","subfamily","genus","species","author","namePublishedInYear","synonym.s.","TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"Ceratophyllidae","Ceratophyllinae","Macrostylophora",NA,"Ewing",1929,"Aceratophyllus Ewing, 1929; Neoceratophyllus Liu, 1939","Lewis",16,"Lewis16",NA,NA,NA,NA,NA,NA,NA,"Macrostylophora Ewing, 1929",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Ewing, 1929",NA,NA,"accepted",NA,NA,"Macrostylophora"
"Ceratophyllidae","Ceratophyllinae","Oropsylla",NA,"Wagner & Ioff",1926,"Aethopsylla Stewart & Holland, 1940","Lewis",19,"Lewis19",NA,NA,NA,NA,NA,NA,NA,"Oropsylla Wagner & Ioff, 1926",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Wagner & Ioff, 1926",NA,NA,"accepted",NA,NA,"Oropsylla"
"Pygiopsyllidae",NA,"Acanthopsylla",NA,"Jordan & Rothschild",1922,"Akmepsylla Wagner, 1933; Glauertidos M. Rothschild, 1937","Lewis",20,"Lewis20",NA,NA,NA,NA,NA,NA,NA,"Acanthopsylla Jordan & Rothschild, 1922",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1922",NA,NA,"accepted",NA,NA,"Acanthopsylla"
"Ischnopsyllidae","Ischnopsyllinae","Sternopsylla",NA,"Jordan & Rothschild",1921,"Aptilopsylla Ewing, 1940","Lewis",37,"Lewis37",NA,NA,NA,NA,NA,NA,NA,"Sternopsylla Jordan & Rothschild, 1921",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1921",NA,NA,"accepted",NA,NA,"Sternopsylla"
"Pulicidae","Pulicinae","Echidnophaga",NA,"Olliff",1886,"Argopsylla Enderlein, 1903; Xestopsylla Baker, 1904","Lewis",40,"Lewis40",NA,NA,NA,NA,NA,NA,NA,"Echidnophaga Olliff, 1886",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Olliff, 1886",NA,NA,"accepted",NA,NA,"Echidnophaga"
"Ctenophthalmidae","Neopsyllinae","Meringis",NA,"Jordan",1937,"Atheropsylla Stewart, 1940","Lewis",42,"Lewis42",NA,NA,NA,NA,NA,NA,NA,"Meringis Jordan, 1937",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan, 1937",NA,NA,"accepted",NA,NA,"Meringis"
"Leptopsyllidae","Amphipsyllinae","Geusibia",NA,"Jordan",1932,"Augustsonius Hubbard, 1941","Lewis",44,"Lewis44",NA,NA,NA,NA,NA,NA,NA,"Geusibia Jordan, 1932",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan, 1932",NA,NA,"accepted",NA,NA,"Geusibia"
"Ceratophyllidae","Ceratophyllinae","Orchopeas",NA,"Jordan",1933,"Bakerella Wagner, 1930","Lewis",45,"Lewis45",NA,NA,NA,NA,NA,NA,NA,"Orchopeas Jordan, 1933",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan, 1933",NA,NA,"accepted",NA,NA,"Orchopeas"
"Ceratophyllidae","Ceratophyllinae","Mioctenopsylla",NA,"Rothschild",1922,"Boreopsyllus Ewing, 1929","Lewis",46,"Lewis46",NA,NA,NA,NA,NA,NA,NA,"Mioctenopsylla Rothschild, 1922",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Rothschild, 1922",NA,NA,"accepted",NA,NA,"Mioctenopsylla"
"Ischnopsyllidae","Ischnopsyllinae","Ischnopsyllus",NA,"Westwood",1833,"Ceratopsylla Wagner, 1988??; Spalacopsylla Oudemans, 1906 (junior synonym)Nychopsyllus Eysell, 1913; Nycteridiphilis K. Dalla Torre, 1914; Hirtopsylla Argyropulo, 1948 (unrecognized subgenus)","Lewis",109,"Lewis109",NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus Westwood, 1833",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Westwood, 1833",NA,NA,"accepted",NA,NA,"Ischnopsyllus"
