"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName","reason"
"Lewis, CoL, GBIF, NMNH",2062,NA,NA,NA,NA,NA,NA,NA,"Rothschildiana kopsteini (Jordan, 1931)",NA,"Rothschildiana",NA,NA,NA,1931,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Neopsyllidae","Rothschildiana",NA,"kopsteini",NA,"species",NA,"(Jordan, 1931)",NA,"ICZN","accepted",NA,NA,"Rothschildiana kopsteini","subfamily mismatch"
"Lewis, CoL, GBIF",3672,NA,NA,NA,NA,NA,NA,NA,"Rothschildiana Smit, 1952",NA,"Neopsyllinae",NA,NA,NA,1952,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Neopsyllinae","Rothschildiana",NA,NA,NA,"genus",NA,"Smit, 1952",NA,"ICZN","accepted",NA,NA,"Rothschildiana","subfamily mismatch"
"Lewis, CoL, GBIF",3515,NA,NA,NA,NA,NA,NA,NA,"Choristopsylla Jordan, & Rothschild, 1922",NA,"Lycopsyllidae",NA,NA,NA,1922,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Lycopsyllidae",NA,"Choristopsylla",NA,NA,NA,"genus",NA,"Jordan, & Rothschild, 1922",NA,"ICZN","accepted",NA,NA,"Choristopsylla","family mismatch"
"Lewis, CoL, GBIF",2129,NA,NA,NA,NA,NA,NA,NA,"Choristopsylla leptophallus Mardon, 1977",NA,"Choristopsylla",NA,NA,NA,1977,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae",NA,"Choristopsylla",NA,"leptophallus",NA,"species",NA,"Mardon, 1977",NA,"ICZN","accepted",NA,NA,"Choristopsylla leptophallus","family mismatch"
"Lewis, CoL, GBIF",3528,NA,NA,NA,NA,NA,NA,NA,"Ctenidiosomus Jordan, 1931",NA,"Pygiopsyllidae",NA,NA,NA,1931,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae",NA,"Ctenidiosomus",NA,NA,NA,"genus",NA,"Jordan, 1931",NA,"ICZN","accepted",NA,NA,"Ctenidiosomus","family mismatch"
"Lewis, GBIF",1035,NA,NA,NA,NA,NA,NA,NA,"Ctenidiosomus austrinus López-Berrizbeitia, Hastriter & Díaz, 2015",NA,"Ctenidiosomus",NA,NA,NA,2015,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae",NA,"Ctenidiosomus",NA,"austrinus",NA,"species",NA,"López-Berrizbeitia, Hastriter & Díaz, 2015",NA,"ICZN","accepted",NA,NA,"Ctenidiosomus austrinus","family mismatch"
"Lewis, CoL, GBIF",3590,NA,NA,NA,NA,NA,NA,NA,"Macropsylla Rothschild, 1905",NA,"Macropsyllinae",NA,NA,NA,1905,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Macropsyllinae","Macropsylla",NA,NA,NA,"genus",NA,"Rothschild, 1905",NA,"ICZN","accepted",NA,NA,"Macropsylla","family mismatch"
"Lewis, CoL, GBIF",3689,NA,NA,NA,NA,NA,NA,NA,"Stephanopsylla Rothschild, 1911",NA,"Macropsyllinae",NA,NA,NA,1911,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Macropsyllinae","Stephanopsylla",NA,NA,NA,"genus",NA,"Rothschild, 1911",NA,"ICZN","accepted",NA,NA,"Stephanopsylla","family mismatch"
"Lewis, CoL, GBIF, NMNH",1828,NA,NA,NA,NA,NA,NA,NA,"Macropsylla hercules Rothschild, 1905",NA,"Macropsylla",NA,NA,NA,1905,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Macropsyllidae",NA,"Macropsylla",NA,"hercules",NA,"species",NA,"Rothschild, 1905",NA,"ICZN","accepted",NA,NA,"Macropsylla hercules","family mismatch"
"Lewis, CoL, GBIF",3200,NA,NA,NA,NA,NA,NA,NA,"Stephanopsylla thomasi (Rothschild, 1903)",NA,"Stephanopsylla",NA,NA,NA,1903,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Macropsyllidae",NA,"Stephanopsylla",NA,"thomasi",NA,"species",NA,"(Rothschild, 1903)",NA,"ICZN","accepted",NA,NA,"Stephanopsylla thomasi","family mismatch"
