"family","subfamily","genus","species","author","namePublishedInYear","synonym.s.","TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"Pygiopsyllidae",NA,"Acanthopsylla",NA,"Jordan & Rothschild",1922,"Akmepsylla Wagner, 1933; Glauertidos M. Rothschild, 1937","Lewis",20,"Lewis20",NA,NA,NA,NA,NA,NA,NA,"Acanthopsylla Jordan & Rothschild, 1922",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1922",NA,NA,"accepted",NA,NA,"Acanthopsylla"
"Pulicidae","Spilopsyllinae","Spilopsyllus","simplex","(Baker)",1895,"Acediopsylla Ewing, 1940; Cediopsylla Jordan, 1925","Lewis",12,"Lewis12",NA,NA,NA,NA,NA,NA,NA,"Spilopsyllus simplex (Baker, 1895)",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"simplex",NA,"species",NA,"(Baker, 1895)",NA,NA,"accepted",NA,NA,"Spilopsyllus simplex"
"Pulicidae","Spilopsyllinae","Spilopsyllus","tepolita","Barrera",1967,"Acediopsylla Ewing, 1940; Cediopsylla Jordan, 1925","Lewis",13,"Lewis13",NA,NA,NA,NA,NA,NA,NA,"Spilopsyllus tepolita Barrera, 1967",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"tepolita",NA,"species",NA,"Barrera, 1967",NA,NA,"accepted",NA,NA,"Spilopsyllus tepolita"
"Pulicidae","Spilopsyllinae","Spilopsyllus","spillmanni","Jordan",1930,"Acediopsylla Ewing, 1940; Cediopsylla Jordan, 1925","Lewis",15,"Lewis15",NA,NA,NA,NA,NA,NA,NA,"Spilopsyllus spillmanni Jordan, 1930",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"spillmanni",NA,"species",NA,"Jordan, 1930",NA,NA,"accepted",NA,NA,"Spilopsyllus spillmanni"
"Ceratophyllidae","Ceratophyllinae","Amonopsyllus","ciliatus","Baker",1904,"Amonopsyllus ciliatus protinus Jordan, 1929; Ceratophyllus ciliatus kincaidi Hubbard, 1940; Amonopsyllus ciliatus mononis Jordan, 1929; Ceratophyllus ciliatus protinus Hubbard, 1940; Monopsyllus ciliatus fasteni Hubbard, 1954","Lewis",24,"Lewis24",NA,NA,NA,NA,NA,NA,NA,"Amonopsyllus ciliatus Baker, 1904",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"ciliatus",NA,"species",NA,"Baker, 1904",NA,NA,"accepted",NA,NA,"Amonopsyllus ciliatus"
"Ceratophyllidae","Ceratophyllinae","Rosickyiana","lunata","Jordan & Rothschild",1920,"Ceratophyllus tundrensis Holland, 1945","Lewis",104,"Lewis104",NA,NA,NA,NA,NA,NA,NA,"Rosickyiana lunata Jordan & Rothschild, 1920",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"lunata",NA,"species",NA,"Jordan & Rothschild, 1920",NA,NA,"accepted",NA,NA,"Rosickyiana lunata"
"Leptopsyllidae","Amphipsyllinae","Frontopsylla","diqingensis","Li & Hsieh",1974,"Frontopsylla spadix gurkha Smit, 1975","Lewis",204,"Lewis204",NA,NA,NA,NA,NA,NA,NA,"Frontopsylla diqingensis Li & Hsieh, 1974",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"diqingensis",NA,"species",NA,"Li & Hsieh, 1974",NA,NA,"accepted",NA,NA,"Frontopsylla diqingensis"
"Ischnopsyllidae","Ischnopsyllinae","Lagaropsylla","putila","Jordan & Rothschild",1921,"Lagaropsylla mytila Hurka, 1984","Lewis",226,"Lewis226",NA,NA,NA,NA,NA,NA,NA,"Lagaropsylla putila Jordan & Rothschild, 1921",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"putila",NA,"species",NA,"Jordan & Rothschild, 1921",NA,NA,"accepted",NA,NA,"Lagaropsylla putila"
"Ceratophyllidae","Ceratophyllinae","Nosopsyllus","medus","Jordan",1938,"Nosopsyllus londiniensis stylifer Peus, 1978","Lewis",278,"Lewis278",NA,NA,NA,NA,NA,NA,NA,"Nosopsyllus medus Jordan, 1938",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"medus",NA,"species",NA,"Jordan, 1938",NA,NA,"accepted",NA,NA,"Nosopsyllus medus"
"Pulicidae","Spilopsyllinae","Spilosyllus","cuniculi","(Dale)",1878,"Pulex goniocephalus Taschenberg, 1880","Lewis",339,"Lewis339",NA,NA,NA,NA,NA,NA,NA,"Spilosyllus cuniculi (Dale, 1878)",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"cuniculi",NA,"species",NA,"(Dale, 1878)",NA,NA,"accepted",NA,NA,"Spilosyllus cuniculi"
"Ceratophyllidae","Ceratophyllinae","Thrassis","fotus","(Jordan)",1925,"Thrassis brennani Augustson, 1944; Ceratophyllus citelli Stewart, 1928; Thrassis princei Hubbard, 1943","Lewis",396,"Lewis396",NA,NA,NA,NA,NA,NA,NA,"Thrassis fotus (Jordan, 1925)",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"fotus",NA,"species",NA,"(Jordan, 1925)",NA,NA,"accepted",NA,NA,"Thrassis fotus"
