"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName","suggested","Hastriter_suggested","Hastriter_note","Hastriter_family"
"GBIF, CoL, NMNH, FMNH","1416868",NA,NA,"1416848",NA,NA,NA,NA,"Oropsylla alaskensis Baker, 1904",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Oropsylla",NA,"alaskensis",NA,"species",NA,"Baker, 1904",NA,NA,"accepted",NA,NA,"Oropsylla alaskensis","Oropsylla alaskensis alaskensis","Oropsylla alaskensis alaskensis Baker, 1904",NA,NA
"GBIF, CoL","1417630",NA,NA,"1417597",NA,NA,NA,NA,"Ischnopsyllus simplex Rothschild, 1906",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae",NA,"Ischnopsyllus",NA,"simplex",NA,"species",NA,"Rothschild, 1906",NA,NA,"accepted",NA,NA,"Ischnopsyllus simplex","Ischnopsyllus simplex simplex","Ischnopsyllus simplex simplex Rothschild, 1906",NA,NA
"GBIF, CoL, NMNH, FMNH","6194319",NA,NA,"1417011",NA,NA,NA,NA,"Orchopeas caedens caedens",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Orchopeas",NA,"caedens","caedens","subspecies",NA,"(Jordan, 1925)",NA,NA,"accepted",NA,NA,"Orchopeas caedens caedens","Orchopeas caedens","Orchopeas caedens (Jordan, 1925)",NA,NA
"GBIF, CoL","1416978",NA,NA,"1416967",NA,NA,NA,NA,"Megabothris advenarius (Wagner, 1930)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Megabothris",NA,"advenarius",NA,"species",NA,"(Wagner, 1930)",NA,NA,"accepted",NA,NA,"Megabothris advenarius","Megabothris advenarius advenarius","Megabothris advenarius advenarius (Wagner, 1930)",NA,NA
"GBIF, CoL","1419041",NA,NA,"1419040",NA,NA,NA,NA,"Palaeopsylla atlantica Jordan & Rothschild, 1912",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Palaeopsylla",NA,"atlantica",NA,"species",NA,"Jordan & Rothschild, 1912",NA,NA,"accepted",NA,NA,"Palaeopsylla atlantica","Palaeopsylla atlantica atlantica","Palaeopsylla atlantica atlantica Jordan & Rothschild, 1912",NA,"Ctenophthalmidae"
"GBIF, CoL, NMNH","1419799",NA,NA,"1419790",NA,NA,NA,NA,"Stivalius cognatus Jordan & Rothschild, 1922",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae",NA,"Stivalius",NA,"cognatus",NA,"species",NA,"Jordan & Rothschild, 1922",NA,NA,"accepted",NA,NA,"Stivalius cognatus","Stivalius cognatus cognatus","Stivalius cognatus cognatus Jordan & Rothschild, 1922",NA,NA
"GBIF, CoL, NMNH","1419078",NA,NA,"1419040",4480937,NA,NA,NA,"Palaeopsylla soricis (Dale, 1878)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Palaeopsylla",NA,"soricis",NA,"species",NA,"(Dale, 1878)",NA,NA,"accepted",NA,NA,"Palaeopsylla soricis","Palaeopsylla soricis soricis","Palaeopsylla soricis soricis (Dale, 1878)",NA,"Ctenophthalmidae"
"GBIF, CoL, NMNH","1419794",NA,NA,"1419790",NA,NA,NA,NA,"Stivalius aporus Jordan & Rothschild, 1922",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae",NA,"Stivalius",NA,"aporus",NA,"species",NA,"Jordan & Rothschild, 1922",NA,NA,"accepted",NA,NA,"Stivalius aporus","Stivalius aporus aporus","Stivalius aporus aporus Jordan & Rothschild, 1922",NA,NA
"GBIF, CoL, NMNH","1419048",NA,NA,"1419040",NA,NA,NA,NA,"Palaeopsylla tauberi Lewis, 1973",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Palaeopsylla",NA,"tauberi",NA,"species",NA,"Lewis, 1973",NA,NA,"accepted",NA,NA,"Palaeopsylla tauberi","Palaeopsylla tauberi tauberi","Palaeopsylla tauberi tauberi Lewis, 1973",NA,"Ctenophthalmidae"
"GBIF, CoL","1419061",NA,NA,"1419040",NA,NA,NA,NA,"Palaeopsylla similis Dampf, 1910",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Palaeopsylla",NA,"similis",NA,"species",NA,"Dampf, 1910",NA,NA,"accepted",NA,NA,"Palaeopsylla similis","Palaeopsylla similis similis","Palaeopsylla similis similis Dampf, 1910",NA,"Ctenophthalmidae"
