"family","scientificName","in petra's list","TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"Vermipsyllidae","Vermipsyllidae","yes","FMNH",324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Vermipsyllidae",NA,NA,NA,"genus",NA,"",NA,NA,NA,NA,NA,"Vermipsyllidae"
"Ceratophyllidae","Ceratophyllus","yes","FMNH",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus"
"Ceratophyllidae","Dactylopsylla","yes","FMNH",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Dactylopsylla",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Dactylopsylla"
"Ceratophyllidae","Dasypsyllus","yes","FMNH",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Dasypsyllus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Dasypsyllus"
"Ceratophyllidae","Foxella","yes","FMNH",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Foxella",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Foxella"
"Ceratophyllidae","Kohlsia","yes","FMNH",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Kohlsia",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Kohlsia"
"Ceratophyllidae","Malaraeus","yes","FMNH",69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Malaraeus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Malaraeus"
"Ceratophyllidae","Opisodasys","yes","FMNH",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Opisodasys",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Opisodasys"
"Ceratophyllidae","Orchopeas","yes","FMNH",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Orchopeas",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Orchopeas"
"Ceratophyllidae","Oropsylla (Diamanus)","yes","FMNH",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Oropsylla","Diamanus",NA,NA,"subgenus",NA,NA,NA,NA,NA,NA,NA,"Diamanus"
