"TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"Lewis",337,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus hirundinis (Curtis, 1826)",NA,NA,NA,NA,NA,"1826",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Ceratophyllus",NA,"hirundinis",NA,"species",NA,"(Curtis, 1826)",NA,NA,"accepted",NA,NA,"Ceratophyllus hirundinis"
"Lewis",2334,NA,NA,NA,NA,NA,NA,NA,NA,"Rhadinopsylla semenovi Argyropulo, 1946",NA,NA,NA,NA,NA,"1946",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Rhadinopsyllinae","Rhadinopsylla",NA,"semenovi",NA,"species",NA,"Argyropulo, 1946",NA,NA,"accepted",NA,NA,"Rhadinopsylla semenovi"
"Lewis",2533,NA,NA,NA,NA,NA,NA,NA,NA,"Thrassis acamantis (Rothschild, 1905)",NA,NA,NA,NA,NA,"1905",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Thrassis",NA,"acamantis",NA,"species",NA,"(Rothschild, 1905)",NA,NA,"accepted",NA,NA,"Thrassis acamantis"
"Lewis",2710,NA,NA,NA,NA,NA,NA,NA,NA,"Xenopsylla skrjabini Ioff, 1930",NA,NA,NA,NA,NA,"1930",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsyllinae","Xenopsylla",NA,"skrjabini",NA,"species",NA,"Ioff, 1930",NA,NA,"accepted",NA,NA,"Xenopsylla skrjabini"
"Lewis",2746,"NA","NA","2257","NA","NA","NA","NA","NA","Pygiopsylla congrua Jordan & Rothschild, 1922","Pygiopsylla hoplia Jordan & Rothschild, 1922","NA","NA","NA","NA","1922","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","NA","Pygiopsylla",NA,"congrua",NA,"species","NA","Jordan & Rothschild, 1922","NA","NA","NA","NA","female","Pygiopsylla congrua"
"Lewis",2750,"NA","NA","1858","NA","NA","NA","NA","NA","Oropsylla montana mandarina (Jordan & Rothschild, 1911)","Oropsylla montana (Baker, 1895)","NA","NA","NA","NA","1895","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Oropsylla",NA,"montana","mandarina","species","NA","Jordan & Rothschild, 1911","NA","NA","NA","NA",NA,"Oropsylla montana mandarina"
"Lewis",2751,"NA","NA","1727","NA","NA","NA","NA","NA","Oropsylla montana mandarina (Jordan & Rothschild, 1911)","Nosopsyllus mokrzeckyi (Wagner, 1916)","NA","NA","NA","NA","1916","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Oropsylla",NA,"montana","mandarina","species","NA","Jordan & Rothschild, 1911","NA","NA","NA","NA",NA,"Oropsylla montana mandarina"
"Lewis",2752,"NA","NA","1828","NA","NA","NA","NA","NA","Opisodasys jellisoni I. Fox, 1941","Opisodasys vesperalis (Jordan, 1929)","NA","NA","NA","NA","1929","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Opisodasys",NA,"jellisoni",NA,"species","NA","I. Fox, 1941","NA","NA","NA","NA","female Opisodasys vesperalis (Jordan, 1929)","Opisodasys jellisoni"
"Lewis",2757,"NA","NA","516","NA","NA","NA","NA","NA","Pulex canis Curtis, 1826","Ctenocephalides canis (Curtis, 1926)","NA","NA","NA","NA","1926","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Archaeopsyllinae","Pulex",NA,"canis",NA,"species","NA","Curtis, 1826","NA","NA","junior homonym","NA","junior homonym","Pulex canis"
"Lewis",2761,"NA","NA","337","NA","NA","NA","NA","NA","Ceratophyllus hirundinis Chao, 1947","Ceratophyllus hirundinis (Curtis, 1826)","NA","NA","NA","NA","1826","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Ceratophyllus",NA,"hirundinis",NA,"species","NA","Chao, 1947","NA","NA","junior homonym","NA","junior homonym","Ceratophyllus hirundinis"
"Lewis",2762,"NA","NA","516","NA","NA","NA","NA","NA","Pulex canis Dugès, 1832","Ctenocephalides canis (Curtis, 1926)","NA","NA","NA","NA","1926","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Archaeopsyllinae","Pulex",NA,"canis",NA,"species","NA","Dugès, 1832","NA","NA","junior homonym","NA","junior homonym","Pulex canis"
"Lewis",2764,"NA","NA","1327","NA","NA","NA","NA","NA","Pulex musculi Bouché, 1835","Leptopsylla segnis (Schönherr, 1811)","NA","NA","NA","NA","1811","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Leptopsyllinae","Pulex",NA,"musculi",NA,"species","NA","Bouché, 1835","NA","NA","junior homonym","NA","junior homonym of Pulex musculi Dugès, 1832","Pulex musculi"
"Lewis",2765,"NA","NA","91","NA","NA","NA","NA","NA","Trichopsylla Jordan & Rothschild, 1920","Amalaraeus Ioff, 1936","NA","NA","NA","NA","1936","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Trichopsylla",NA,NA,NA,"genus","NA","Jordan & Rothschild, 1920","NA","NA","junior homonym","NA","junior homonym of Trichopsylla Kolenati, 1863","Trichopsylla"
"Lewis",2766,"NA","NA","91","NA","NA","NA","NA","NA","Trichopsylla Ewing & Fox, 1943","Amalaraeus Ioff, 1936","NA","NA","NA","NA","1936","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Trichopsylla",NA,NA,NA,"genus","NA","Ewing & Fox, 1943","NA","NA","junior homonym","NA","junior homonym of Trichopsylla Kolenati, 1863","Trichopsylla"
