"family","subfamily","genus","species","author","namePublishedInYear","synonym(s)","TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName","syn1","syn2","syn3","syn4","syn5","syn6","syn7","syn8","syn9","syn10","syn11","syn12","syn13"
"Ctenophthalmidae","Doratopsyllinae","Adoratopsylla",NA,"Ewing","1925","Spalacopsylla Pinto, 1930 (junior synonym)","Lewis",41,NA,NA,NA,NA,NA,NA,NA,NA,"Spalacopsylla Pinto, 1930 ","Adoratopsylla Ewing, 1925",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Ewing, 1925",NA,NA,NA,NA,"junior synonym","Adoratopsylla","Spalacopsylla Pinto, 1930 (junior synonym)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vermipsyllidae",NA,"Chaetopsylla",NA,"Kohaut","1903","Oncopsylla Wahlgren, 1903 (junior synonym); Achaetopsylla Argyropulo, 1948","Lewis",400,NA,NA,NA,NA,NA,NA,NA,NA,"Oncopsylla Wahlgren, 1903 ","Chaetopsylla Kohaut, 1903",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Kohaut, 1903",NA,NA,NA,NA,"junior synonym","Chaetopsylla","Oncopsylla Wahlgren, 1903 (junior synonym)","Achaetopsylla Argyropulo, 1948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coptopsyllidae",NA,"Coptopsylla",NA,"Jordan & Rothschild","1908","Paracoptopsylla Argyropulo, 1938 (subgenus of Coptopsylla); Macocoptopsylla Ioff, 1953; Neocoptopsylla Wagner, 1932","Lewis",488,NA,NA,NA,NA,NA,NA,NA,NA,"Paracoptopsylla Argyropulo, 1938 ","Coptopsylla Jordan & Rothschild, 1908",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1908",NA,NA,NA,NA,"subgenus of Coptopsylla","Coptopsylla","Paracoptopsylla Argyropulo, 1938 (subgenus of Coptopsylla)","Macocoptopsylla Ioff, 1953","Neocoptopsylla Wagner, 1932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ctenophthalmidae","Ctenophthalminae","Ctenophthalmus",NA,"Kolenati","1856","Spalacopsylla Kolenati, 1856 (junior synonym)","Lewis",827,NA,NA,NA,NA,NA,NA,NA,NA,"Spalacopsylla Kolenati, 1856 ","Ctenophthalmus Kolenati, 1856",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Kolenati, 1856",NA,NA,NA,NA,"junior synonym","Ctenophthalmus","Spalacopsylla Kolenati, 1856 (junior synonym)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stivaliidae",NA,"Gryphopsylla",NA,"Traub","1957","Migrastivalius Traub, 1980 (subgenus)","Lewis",1119,NA,NA,NA,NA,NA,NA,NA,NA,"Migrastivalius Traub, 1980 ","Gryphopsylla Traub, 1957",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Traub, 1957",NA,NA,NA,NA,"subgenus","Gryphopsylla","Migrastivalius Traub, 1980 (subgenus)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hystrichopsyllidae","Hystrichopsyllinae","Hystrichopsylla",NA,"Taschenberg","1880","Hystroceras Ioff & Scalon, 1950 (unrecognized subgenus)","Lewis",1197,NA,NA,NA,NA,NA,NA,NA,NA,"Hystroceras Ioff & Scalon, 1950 ","Hystrichopsylla Taschenberg, 1880",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Taschenberg, 1880",NA,NA,NA,NA,"unrecognized subgenus","Hystrichopsylla","Hystroceras Ioff & Scalon, 1950 (unrecognized subgenus)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ischnopsyllidae","Ischnopsyllinae","Ischnopsyllus",NA,"Westwood","1833","Ceratopsylla Wagner, 1988? Spalacopsylla Oudemans, 1906 (junior synonym)Nychopsyllus Eysell, 1913; Nycteridiphilis K. Dalla Torre, 1914; Hirtopsylla Argyropulo, 1948 (unrecognized subgenus)","Lewis",1233,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratopsylla Wagner, 1988? Spalacopsylla Oudemans, 1906 Nychopsyllus Eysell, 1913","Ischnopsyllus Westwood, 1833",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Westwood, 1833",NA,NA,NA,NA,"junior synonym","Ischnopsyllus","Ceratopsylla Wagner, 1988? Spalacopsylla Oudemans, 1906 (junior synonym)Nychopsyllus Eysell, 1913","Nycteridiphilis K. Dalla Torre, 1914","Hirtopsylla Argyropulo, 1948 (unrecognized subgenus)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratophyllidae","Ceratophyllinae","Jellisonia",NA,"Traub","1944","Pleochaetoides Augustson, 1944 (subgenus); Jellisonia Traub, 1944 (subgenus)","Lewis",1251,NA,NA,NA,NA,NA,NA,NA,NA,"Pleochaetoides Augustson, 1944 ","Jellisonia Traub, 1944",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Traub, 1944",NA,NA,NA,NA,"subgenus","Jellisonia","Pleochaetoides Augustson, 1944 (subgenus)","Jellisonia Traub, 1944 (subgenus)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ischnopsyllidae","Ischnopsyllinae","Myodopsylla",NA,"Jordan & Rothschild","1911","Myodopsylloides Augustson, 1941 (junior synonym)","Lewis",1573,NA,NA,NA,NA,NA,NA,NA,NA,"Myodopsylloides Augustson, 1941 ","Myodopsylla Jordan & Rothschild, 1911",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1911",NA,NA,NA,NA,"junior synonym","Myodopsylla","Myodopsylloides Augustson, 1941 (junior synonym)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Notiopsylla",NA,"Jordan & Rothschild","1914","Goniopsyllus Baker, 1906 (preoccupied as genus of Crestacea, Jordan & Rothschild, 1914 proposed Notiopsylla as nomen novum for Goniopsyllus)","Lewis",1762,NA,NA,NA,NA,NA,NA,NA,NA,"Goniopsyllus Baker, 1906 ","Notiopsylla Jordan & Rothschild, 1914",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1914",NA,NA,NA,NA,"preoccupied as genus of Crestacea, Jordan & Rothschild, 1914 proposed Notiopsylla as nomen novum for Goniopsyllus","Notiopsylla","Goniopsyllus Baker, 1906 (preoccupied as genus of Crestacea, Jordan & Rothschild, 1914 proposed Notiopsylla as nomen novum for Goniopsyllus)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
