"catalog number","barcode","catalog","class","order","family","scientificName","type status","type citation","other identifications","sex and stage","preparation","bioregion","distribution","country","province/state","district/county","precise locality","elevation (m)","centroid latitude","centroid longitude","field number","collector(s)","collecting date","specimen count","record status","genetic sample type","biorepository number","bold id","genbank numbers","preservation method","embargo?","depleted?","record last modified","ezid","TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","reason"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Megabothris unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 14:52:00,"http://n2t.net/ark:/65665/3d29778bb-8a17-462f-a164-f1d9d84c1684","NMNH",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Megabothris",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Mioctenopsylla unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 14:52:00,"http://n2t.net/ark:/65665/373788285-f649-4558-83da-1a69e49dacef","NMNH",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mioctenopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Nosopsyllus (Nosopsyllus) unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 14:53:00,"http://n2t.net/ark:/65665/303d16d2d-2457-4367-a399-e866fc9921db","NMNH",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nosopsyllus","Nosopsyllus","unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ischnopsyllidae","Araeopsylla unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 14:58:00,"http://n2t.net/ark:/65665/304a61297-6272-47f9-9fe6-d4be2e567284","NMNH",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Araeopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Nosopsyllus unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 14:54:00,"http://n2t.net/ark:/65665/341068b19-9f30-4fed-873a-6543cdad259b","NMNH",91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nosopsyllus",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ischnopsyllidae","Chiropteropsylla unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 14:58:00,"http://n2t.net/ark:/65665/3a1efee3c-57d7-4c16-bc65-82a6c4f6b25c","NMNH",113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chiropteropsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ischnopsyllidae","Hormopsylla unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 14:59:00,"http://n2t.net/ark:/65665/39fc1d9d7-169b-42f1-9443-172e21dad519","NMNH",114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hormopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ischnopsyllidae","Lagaropsylla unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1193,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 14:59:00,"http://n2t.net/ark:/65665/36b4c5b90-f714-45eb-8400-cfa93ce3a788","NMNH",127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lagaropsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Doratopsylla unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 15:12:00,"http://n2t.net/ark:/65665/32bc455c7-f457-4193-8ab6-783f10aa9ba3","NMNH",159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Doratopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Epitedia unidentified",NA,NA,NA,NA,"Slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2014-09-30 15:12:00,"http://n2t.net/ark:/65665/31c8000e7-596e-4922-b6e5-c40dadd4bd7e","NMNH",163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Epitedia",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
