"id","order","family","genus","species","subspecies","taxonlevel","accid","canonical","source"
6235,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","aiyurensis",NA,"species",4,"Acanthopsylla aiyurensis","GBIF"
1,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","bella",NA,"species",0,"Acanthopsylla bella","Lewis, CoL, GBIF"
2,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","bisinuata",NA,"species",0,"Acanthopsylla bisinuata","Lewis, CoL, GBIF"
6236,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","divergens",NA,"species",4,"Acanthopsylla divergens","GBIF"
3,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","dunneti",NA,"species",0,"Acanthopsylla dunneti","Lewis, CoL, GBIF"
4,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","enderleini",NA,"species",0,"Acanthopsylla enderleini","Lewis, CoL, GBIF"
5,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","eudromiciae",NA,"species",0,"Acanthopsylla eudromiciae","Lewis, CoL, GBIF"
6,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","franklinensis",NA,"species",0,"Acanthopsylla franklinensis","Lewis, CoL, GBIF"
7,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","guba",NA,"species",0,"Acanthopsylla guba","Lewis, CoL, GBIF"
8,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","hollandi",NA,"species",0,"Acanthopsylla hollandi","Lewis"
2784,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","incerta",NA,"species",10,"Acanthopsylla incerta","Lewis, GBIF"
9,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","jordani",NA,"species",0,"Acanthopsylla jordani","Lewis, CoL, GBIF"
2869,"Siphonaptera","Leptopsyllidae","Acanthopsylla","lapponica",NA,"species",1055,"Acanthopsylla lapponica","Lewis"
6237,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","monticola",NA,"species",4,"Acanthopsylla monticola","GBIF"
10,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","pavida",NA,"species",0,"Acanthopsylla pavida","Lewis, CoL, NMNH, GBIF"
11,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","praxilla",NA,"species",0,"Acanthopsylla praxilla","Lewis, CoL, GBIF"
12,"Siphonaptera","Pygiopsyllidae","Acanthopsylla","rectangulata",NA,"species",0,"Acanthopsylla rectangulata","Lewis, CoL, GBIF"
