"family","subfamily","genus","species","author","namePublishedInYear","synonym(s)","TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks"
"Pygiopsyllidae",NA,"Acanthopsylla","bella","Smit","1953",NA,"Lewis","1","Lewis1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Acanthopsylla","bisinuata","Holland","1969",NA,"Lewis","2","Lewis2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Acanthopsylla","dunneti","Holland","1971",NA,"Lewis","3","Lewis3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Acanthopsylla","enderleini","(Wagner)","1933","Gluertidos divergens Smt, 1953; Gluertidos aiyurensis Holland, 1969; Gluertidos monticola Holland, 1969","Lewis","4","Lewis4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Acanthopsylla","eudromiciae","Holland","1969",NA,"Lewis","5","Lewis5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Acanthopsylla","franklinensis","M. Rothschild","1936",NA,"Lewis","6","Lewis6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Acanthopsylla","guba","Smit","1953",NA,"Lewis","7","Lewis7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Acanthopsylla","hollandi","Lewis","1977",NA,"Lewis","8","Lewis8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Acanthopsylla","jordani","Mardon","1973",NA,"Lewis","9","Lewis9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Acanthopsylla","pavida","(Rothschild)","1916","Acanthopsylla incerta Holland, 1971","Lewis","10","Lewis10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Acanthopsylla","praxilla","M. Rothschild","1934",NA,"Lewis","11","Lewis11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Acanthopsylla","rectangulata","Holland","1971",NA,"Lewis","12","Lewis12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Acanthopsylla","richardsoni","Smit","1953",NA,"Lewis","13","Lewis13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Acanthopsylla","rothschildi multidentata","Holland","1971",NA,"Lewis","14","Lewis14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Acanthopsylla","rothschildi nereis","Jordan & Rothschild","1922",NA,"Lewis","15","Lewis15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Acanthopsylla","rothschildi rothschildi","(Rainbow)","1905","Acanthopsylla rothschildi victoriana Jordan & Rothschild, 1922","Lewis","16","Lewis16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Acanthopsylla","saphes","Jordan & Rothschild","1922",NA,"Lewis","17","Lewis17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Acanthopsylla","scintilla rectangulata","Holland","1971",NA,"Lewis","18","Lewis18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Acanthopsylla","scintilla scintilla","(M. Rothschild)","1936","Glauertia scintilla M. Rothschild, 1936; Glauertidos M. Rothschild, 1937 (nomen novum for Glauertia = Acanthopsylla Jordan & Rothschild, 1922)","Lewis","19","Lewis19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Acanthopsylla","scintilla tasmanica","Holland","1971",NA,"Lewis","20","Lewis20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Acanthopsylla","woodwardi","(Rothschild)","1904",NA,"Lewis","21","Lewis21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
